Alicia Coutts,24,2012,8/12/12,Swimming,1,3,1,5
Ian Thorpe,17,2000,10/1/00,Swimming,3,2,0,5
Libby Lenton-Trickett,23,2008,8/24/08,Swimming,2,1,1,4
Petria Thomas,28,2004,8/29/04,Swimming,3,1,0,4
Ian Thorpe,21,2004,8/29/04,Swimming,2,1,1,4
Michael Klim,23,2000,10/1/00,Swimming,2,2,0,4
Susie O'Neill,27,2000,10/1/00,Swimming,1,3,0,4
Brittany Elmslie,18,2012,8/12/12,Swimming,1,2,0,3
Mel Schlanger,25,2012,8/12/12,Swimming,1,2,0,3
Emily Seebohm,20,2012,8/12/12,Swimming,1,2,0,3
Leisel Jones,22,2008,8/24/08,Swimming,2,1,0,3
Andrew Lauterstein,21,2008,8/24/08,Swimming,0,1,2,3
Steph Rice,20,2008,8/24/08,Swimming,3,0,0,3
Jess Schipper,21,2008,8/24/08,Swimming,1,0,2,3
Eamon Sullivan,22,2008,8/24/08,Swimming,0,2,1,3
Grant Hackett,24,2004,8/29/04,Swimming,1,2,0,3
Jodie Henry,20,2004,8/29/04,Swimming,3,0,0,3
Leisel Jones,18,2004,8/29/04,Swimming,1,1,1,3
Petria Thomas,25,2000,10/1/00,Swimming,0,2,1,3
Matt Welsh,23,2000,10/1/00,Swimming,0,2,1,3
Bronte Barratt,23,2012,8/12/12,Swimming,0,1,1,2
James Magnussen,21,2012,8/12/12,Swimming,0,1,1,2
Christian Sprenger,26,2012,8/12/12,Swimming,0,1,1,2
Leith Brodie,22,2008,8/24/08,Swimming,0,0,2,2
Cate Campbell,16,2008,8/24/08,Swimming,0,0,2,2
Felicity Galvez,23,2008,8/24/08,Swimming,2,0,0,2
Grant Hackett,28,2008,8/24/08,Swimming,0,1,1,2
Patrick Murphy,24,2008,8/24/08,Swimming,0,0,2,2
Shayne Reese,25,2008,8/24/08,Swimming,1,0,1,2
Brenton Rickard,24,2008,8/24/08,Swimming,0,2,0,2
Mel Schlanger,21,2008,8/24/08,Swimming,1,0,1,2
Hayden Stoeckel,24,2008,8/24/08,Swimming,0,1,1,2
Matt Targett,22,2008,8/24/08,Swimming,0,1,1,2
Brooke Hanson,26,2004,8/29/04,Swimming,1,1,0,2
Libby Lenton-Trickett,19,2004,8/29/04,Swimming,1,0,1,2
Alice Mills,18,2004,8/29/04,Swimming,2,0,0,2
Grant Hackett,20,2000,10/1/00,Swimming,2,0,0,2
Geoff Huegill,21,2000,10/1/00,Swimming,0,1,1,2
Leisel Jones,15,2000,10/1/00,Swimming,0,2,0,2
Todd Pearson,22,2000,10/1/00,Swimming,2,0,0,2
Adam Pine,24,2000,10/1/00,Swimming,1,1,0,2
Giaan Rooney,17,2000,10/1/00,Swimming,0,2,0,2
Kim Crow,26,2012,8/12/12,Rowing,0,1,1,2
Andrew Hoy,41,2000,10/1/00,Equestrian,1,1,0,2
Mathew Helm,23,2004,8/29/04,Diving,0,1,1,2
Chantelle Michell-Newbery,27,2004,8/29/04,Diving,1,0,1,2
Robert Newbery,25,2004,8/29/04,Diving,0,0,2,2
Anna Meares,28,2012,8/12/12,Cycling,1,0,1,2
Ryan Bayley,22,2004,8/29/04,Cycling,2,0,0,2
Graeme Brown,25,2004,8/29/04,Cycling,2,0,0,2
Brad McGee,28,2004,8/29/04,Cycling,1,1,0,2
Anna Meares,20,2004,8/29/04,Cycling,1,0,1,2
Gary Neiwand,34,2000,10/1/00,Cycling,0,1,1,2
Ken Wallace,25,2008,8/24/08,Canoeing,1,0,1,2
Nathan Baggaley,28,2004,8/29/04,Canoeing,0,2,0,2
Jared Tallent,23,2008,8/24/08,Athletics,0,1,1,2
Gemma Beadsworth,25,2012,8/12/12,Waterpolo,0,0,1,1
Victoria Brown,27,2012,8/12/12,Waterpolo,0,0,1,1
Kate Gynther,30,2012,8/12/12,Waterpolo,0,0,1,1
Bronwen Knox,26,2012,8/12/12,Waterpolo,0,0,1,1
Holly Lincoln-Smith,24,2012,8/12/12,Waterpolo,0,0,1,1
Alicia McCormack,29,2012,8/12/12,Waterpolo,0,0,1,1
Jane Moran,27,2012,8/12/12,Waterpolo,0,0,1,1
Glencora Ralph,24,2012,8/12/12,Waterpolo,0,0,1,1
Mel Rippon,31,2012,8/12/12,Waterpolo,0,0,1,1
Sophie Smith,26,2012,8/12/12,Waterpolo,0,0,1,1
