Gregor Schlierenzauer,20,2010,2/28/10,Ski Jumping,1,0,2,3
Felix Gottwald,30,2006,2/26/06,Nordic Combined,2,1,0,3
Felix Gottwald,26,2002,2/24/02,Nordic Combined,0,0,3,3
Stephan Eberharter,32,2002,2/24/02,Alpine Skiing,1,1,1,3
Markus Rogan,22,2004,8/29/04,Swimming,0,2,0,2
Andreas Kofler,21,2006,2/26/06,Ski Jumping,1,1,0,2
Thomas Morgenstern,19,2006,2/26/06,Ski Jumping,2,0,0,2
Bernhard Gruber,27,2010,2/28/10,Nordic Combined,1,0,1,2
Christoph Sumann,34,2010,2/28/10,Biathlon,0,2,0,2
Elisabeth Görgl,28,2010,2/28/10,Alpine Skiing,0,0,2,2
Michaela Dorfmeister,32,2006,2/26/06,Alpine Skiing,2,0,0,2
Hermann Maier,33,2006,2/26/06,Alpine Skiing,0,1,1,2
Benjamin Raich,27,2006,2/26/06,Alpine Skiing,2,0,0,2
Marlies Schild,24,2006,2/26/06,Alpine Skiing,0,1,1,2
Rainer Schönfelder,28,2006,2/26/06,Alpine Skiing,0,0,2,2
Renate Götschl,26,2002,2/24/02,Alpine Skiing,0,1,1,2
Benjamin Raich,23,2002,2/24/02,Alpine Skiing,0,0,2,2
Kate Allen,34,2004,8/29/04,Triathlon,1,0,0,1
Mirna Jukic,22,2008,8/24/08,Swimming,0,0,1,1
Benjamin Karl,24,2010,2/28/10,Snowboarding,0,1,0,1
Marion Kreiner,28,2010,2/28/10,Snowboarding,0,0,1,1
Sigi Grabner,31,2006,2/26/06,Snowboarding,0,0,1,1
Andreas Kofler,25,2010,2/28/10,Ski Jumping,1,0,0,1
Wolfgang Loitzl,30,2010,2/28/10,Ski Jumping,1,0,0,1
Thomas Morgenstern,23,2010,2/28/10,Ski Jumping,1,0,0,1
Martin Koch,24,2006,2/26/06,Ski Jumping,1,0,0,1
Andreas Widhölzl,29,2006,2/26/06,Ski Jumping,1,0,0,1
Martin Rettl,28,2002,2/24/02,Skeleton,0,1,0,1
Christian Planer,29,2004,8/29/04,Shooting,0,0,1,1
Andreas Geritzer,26,2004,8/29/04,Sailing,0,1,0,1
Roman Hagara,38,2004,8/29/04,Sailing,1,0,0,1
Hans-Peter Steinacher,35,2004,8/29/04,Sailing,1,0,0,1
Roman Hagara,34,2000,10/1/00,Sailing,1,0,0,1
Christoph Sieber,29,2000,10/1/00,Sailing,1,0,0,1
Hans-Peter Steinacher,32,2000,10/1/00,Sailing,1,0,0,1
Felix Gottwald,34,2010,2/28/10,Nordic Combined,1,0,0,1
David Kreiner,28,2010,2/28/10,Nordic Combined,1,0,0,1
Mario Stecher,32,2010,2/28/10,Nordic Combined,1,0,0,1
Christoph Bieler,28,2006,2/26/06,Nordic Combined,1,0,0,1
Michael Gruber,26,2006,2/26/06,Nordic Combined,1,0,0,1
Mario Stecher,28,2006,2/26/06,Nordic Combined,1,0,0,1
Christoph Bieler,24,2002,2/24/02,Nordic Combined,0,0,1,1
Michael Gruber,22,2002,2/24/02,Nordic Combined,0,0,1,1
Mario Stecher,24,2002,2/24/02,Nordic Combined,0,0,1,1
Andreas Linger,28,2010,2/28/10,Luge,1,0,0,1
Wolfgang Linger,27,2010,2/28/10,Luge,1,0,0,1
Nina Reithmayer,25,2010,2/28/10,Luge,0,1,0,1
Andreas Linger,24,2006,2/26/06,Luge,1,0,0,1
Wolfgang Linger,23,2006,2/26/06,Luge,1,0,0,1
Markus Prock,37,2002,2/24/02,Luge,0,0,1,1
Ludwig Paischer,26,2008,8/24/08,Judo,0,1,0,1
Claudia Heill,22,2004,8/29/04,Judo,0,1,0,1
Andreas Matt,27,2010,2/28/10,Freestyle Skiing,0,1,0,1
Mikhail Botvinov,38,2006,2/26/06,Cross Country Skiing,0,0,1,1
Mikhail Botvinov,34,2002,2/24/02,Cross Country Skiing,0,1,0,1
Christian Hoffmann,27,2002,2/24/02,Cross Country Skiing,1,0,0,1
Violetta Oblinger-Peters,30,2008,8/24/08,Canoeing,0,0,1,1
Simon Eder,27,2010,2/28/10,Biathlon,0,1,0,1
Dominik Landertinger,22,2010,2/28/10,Biathlon,0,1,0,1
Daniel Mesotitsch,33,2010,2/28/10,Biathlon,0,1,0,1
Wolfgang Perner,34,2002,2/24/02,Biathlon,0,0,1,1
Steffi Graf,27,2000,10/1/00,Athletics,0,1,0,1
Andrea Fischbacher,24,2010,2/28/10,Alpine Skiing,1,0,0,1
Marlies Schild,28,2010,2/28/10,Alpine Skiing,0,1,0,1
Reinfried Herbst,27,2006,2/26/06,Alpine Skiing,0,1,0,1
Nicole Hosp,22,2006,2/26/06,Alpine Skiing,0,1,0,1
Alexandra Meissnitzer,32,2006,2/26/06,Alpine Skiing,0,0,1,1
Michael Walchhofer,30,2006,2/26/06,Alpine Skiing,0,1,0,1
Andreas Schifferer,27,2002,2/24/02,Alpine Skiing,0,0,1,1
Fritz Strobl,29,2002,2/24/02,Alpine Skiing,1,0,0,1
