Pauline Davis-Thompson,34,2000,10/1/00,Athletics,2,0,0,2
Chris Brown,33,2012,8/12/12,Athletics,1,0,0,1
Michael Mathieu,28,2012,8/12/12,Athletics,1,0,0,1
Ramon Miller,25,2012,8/12/12,Athletics,1,0,0,1
Demetrius Pinder,23,2012,8/12/12,Athletics,1,0,0,1
Dretti Bain,22,2008,8/24/08,Athletics,0,1,0,1
Chris Brown,29,2008,8/24/08,Athletics,0,1,0,1
Michael Mathieu,24,2008,8/24/08,Athletics,0,1,0,1
Ramon Miller,21,2008,8/24/08,Athletics,0,1,0,1
Avard Moncur,29,2008,8/24/08,Athletics,0,1,0,1
Leevan Sands,27,2008,8/24/08,Athletics,0,0,1,1
Andrae Williams,25,2008,8/24/08,Athletics,0,1,0,1
Debbie Ferguson-McKenzie,28,2004,8/29/04,Athletics,0,0,1,1
Tonique Williams-Darling,28,2004,8/29/04,Athletics,1,0,0,1
Chris Brown,21,2000,10/1/00,Athletics,0,0,1,1
Eldece Clarke-Lewis,35,2000,10/1/00,Athletics,1,0,0,1
Debbie Ferguson-McKenzie,24,2000,10/1/00,Athletics,1,0,0,1
Sevatheda Fynes,25,2000,10/1/00,Athletics,1,0,0,1
Troy McIntosh,27,2000,10/1/00,Athletics,0,0,1,1
Avard Moncur,21,2000,10/1/00,Athletics,0,0,1,1
Tim Munnings,34,2000,10/1/00,Athletics,0,0,1,1
Carl Oliver,31,2000,10/1/00,Athletics,0,0,1,1
Chandra Sturrup,29,2000,10/1/00,Athletics,1,0,0,1
