Viktoriya Azarenko,22,2012,8/12/12,Tennis,1,0,1,2
Aleksandra Gerasimenya,26,2012,8/12/12,Swimming,0,2,0,2
Igor Basinsky,37,2000,10/1/00,Shooting,0,1,1,2
Vadim Makhnyov,28,2008,8/24/08,Canoeing,1,0,1,2
Roman Petrushenko,27,2008,8/24/08,Canoeing,1,0,1,2
Murad Gaydarov,28,2008,8/24/08,Wrestling,0,0,1,1
Mikhail Semyonov,24,2008,8/24/08,Wrestling,0,0,1,1
Vyacheslav Makarenko,28,2004,8/29/04,Wrestling,0,0,1,1
Dmitry Debelka,24,2000,10/1/00,Wrestling,0,0,1,1
Irina Kulesha,26,2012,8/12/12,Weightlifting,0,0,1,1
Marina Shkermankova,22,2012,8/12/12,Weightlifting,0,0,1,1
Andrey Aryamnov,20,2008,8/24/08,Weightlifting,1,0,0,1
Anastasiya Novikova,26,2008,8/24/08,Weightlifting,0,0,1,1
Andrey Rybakov,26,2008,8/24/08,Weightlifting,0,1,0,1
Anna Batyushko,22,2004,8/29/04,Weightlifting,0,1,0,1
Andrey Rybakov,22,2004,8/29/04,Weightlifting,0,1,0,1
Tatyana Stukalova,28,2004,8/29/04,Weightlifting,0,0,1,1
Sergey Lavrenov,28,2000,10/1/00,Weightlifting,0,0,1,1
Gennady Oleshchuk,24,2000,10/1/00,Weightlifting,0,0,1,1
Max Mirnyi,35,2012,8/12/12,Tennis,1,0,0,1
Sergey Martynov,44,2012,8/12/12,Shooting,1,0,0,1
Sergey Martynov,36,2004,8/29/04,Shooting,0,0,1,1
Sergey Martynov,32,2000,10/1/00,Shooting,0,0,1,1
Lalita Milshina-Yauhleuskaya,36,2000,10/1/00,Shooting,0,0,1,1
Yuliya Bichik,25,2008,8/24/08,Rowing,0,0,1,1
Nataliya Gelakh,30,2008,8/24/08,Rowing,0,0,1,1
Yekaterina Khodatovich-Karsten,36,2008,8/24/08,Rowing,0,0,1,1
Yuliya Bichik,21,2004,8/29/04,Rowing,0,0,1,1
Nataliya Gelakh,26,2004,8/29/04,Rowing,0,0,1,1
Yekaterina Khodatovich-Karsten,32,2004,8/29/04,Rowing,0,1,0,1
Yekaterina Khodatovich-Karsten,28,2000,10/1/00,Rowing,1,0,0,1
Lyubov Cherkashina,24,2012,8/12/12,Rhythmic Gymnastics,0,0,1,1
Marina Goncharova,22,2012,8/12/12,Rhythmic Gymnastics,0,1,0,1
Anastasiya Ivankova,20,2012,8/12/12,Rhythmic Gymnastics,0,1,0,1
