Justine Henin-Hardenne,22,2004,8/29/04,Tennis,1,0,0,1
Els Callens,30,2000,10/1/00,Tennis,0,0,1,1
Dominique Van Roost,27,2000,10/1/00,Tennis,0,0,1,1
Lionel Cox,31,2012,8/12/12,Shooting,0,1,0,1
Evi Van Acker,26,2012,8/12/12,Sailing,0,0,1,1
Charline Van Snick,21,2012,8/12/12,Judo,0,0,1,1
Ilse Heylen,27,2004,8/29/04,Judo,0,0,1,1
Ann Simons,20,2000,10/1/00,Judo,0,0,1,1
Gella Vandecaveye,27,2000,10/1/00,Judo,0,0,1,1
Axel Merckx,32,2004,8/29/04,Cycling,0,0,1,1
Étienne De Wilde,42,2000,10/1/00,Cycling,0,1,0,1
Matthew Gilmore,28,2000,10/1/00,Cycling,0,1,0,1
Filip Meirhaeghe,29,2000,10/1/00,Cycling,0,1,0,1
Olivia Borlée,22,2008,8/24/08,Athletics,0,1,0,1
Kim Gevaert,30,2008,8/24/08,Athletics,0,1,0,1
Tia Hellebaut,30,2008,8/24/08,Athletics,1,0,0,1
Hanna Mariën,26,2008,8/24/08,Athletics,0,1,0,1
Élodie Ouédraogo,27,2008,8/24/08,Athletics,0,1,0,1
