Cindy Klassen,26,2006,2/26/06,Speed Skating,1,2,2,5
Marc Gagnon,26,2002,2/24/02,Short-Track Speed Skating,2,0,1,3
Charles Hamelin,25,2010,2/28/10,Short-Track Speed Skating,2,0,0,2
Marianne St-Gelais,19,2010,2/28/10,Short-Track Speed Skating,0,2,0,2
François-Louis Tremblay,29,2010,2/28/10,Short-Track Speed Skating,1,0,1,2
Anouk Leblanc-Boucher,21,2006,2/26/06,Short-Track Speed Skating,0,1,1,2
François-Louis Tremblay,25,2006,2/26/06,Short-Track Speed Skating,0,2,0,2
Jonathan Guilmette,23,2002,2/24/02,Short-Track Speed Skating,1,1,0,2
Mathieu Turcotte,25,2002,2/24/02,Short-Track Speed Skating,1,0,1,2
Kristina Groves,33,2010,2/28/10,Speed Skating,0,1,1,2
Kristina Groves,29,2006,2/26/06,Speed Skating,0,2,0,2
Clara Hughes,33,2006,2/26/06,Speed Skating,1,1,0,2
Eric Lamaze,40,2008,8/24/08,Equestrian,1,1,0,2
Anne Montminy,25,2000,10/1/00,Diving,0,1,1,2
Adam Van Koeverden,22,2004,8/29/04,Canoeing,1,0,1,2
Carol Huynh,31,2012,8/12/12,Wrestling,0,0,1,1
Tonya Verbeek,34,2012,8/12/12,Wrestling,0,1,0,1
Carol Huynh,27,2008,8/24/08,Wrestling,1,0,0,1
Tonya Verbeek,31,2008,8/24/08,Wrestling,0,0,1,1
Tonya Verbeek,27,2004,8/29/04,Wrestling,0,1,0,1
Daniel Igali,26,2000,10/1/00,Wrestling,1,0,0,1
Christine Girard,27,2012,8/12/12,Weightlifting,0,0,1,1
Simon Whitfield,33,2008,8/24/08,Triathlon,0,1,0,1
Simon Whitfield,25,2000,10/1/00,Triathlon,1,0,0,1
Rosie MacLennan,23,2012,8/12/12,Trampoline,1,0,0,1
Jason Burnett,21,2008,8/24/08,Trampoline,0,1,0,1
Karen Cockburn,28,2008,8/24/08,Trampoline,0,1,0,1
Karen Cockburn,24,2004,8/29/04,Trampoline,0,1,0,1
Karen Cockburn,20,2000,10/1/00,Trampoline,0,0,1,1
Mathieu Turgeon,21,2000,10/1/00,Trampoline,0,0,1,1
Karine Sergerie,23,2008,8/24/08,Taekwondo,0,1,0,1
Dominique Bosshart,22,2000,10/1/00,Taekwondo,0,0,1,1
Sébastien Lareau,27,2000,10/1/00,Tennis,1,0,0,1
Daniel Nestor,28,2000,10/1/00,Tennis,1,0,0,1
Lyne Beaumont,22,2000,10/1/00,Synchronized Swimming,0,0,1,1
Claire Carver-Dias,23,2000,10/1/00,Synchronized Swimming,0,0,1,1
Erin Chan,21,2000,10/1/00,Synchronized Swimming,0,0,1,1
Catherine Garceau,22,2000,10/1/00,Synchronized Swimming,0,0,1,1
Fanny Létourneau,21,2000,10/1/00,Synchronized Swimming,0,0,1,1
Kirstin Normand,26,2000,10/1/00,Synchronized Swimming,0,0,1,1
Jacinthe Taillon,23,2000,10/1/00,Synchronized Swimming,0,0,1,1
Reidun Tatham,22,2000,10/1/00,Synchronized Swimming,0,0,1,1
Ryan Cochrane,23,2012,8/12/12,Swimming,0,1,0,1
Brent Hayden,28,2012,8/12/12,Swimming,0,0,1,1
Richard Weinberger,22,2012,8/12/12,Swimming,0,0,1,1
Ryan Cochrane,19,2008,8/24/08,Swimming,0,0,1,1
Curtis Myden,26,2000,10/1/00,Swimming,0,0,1,1
Guillaume Bastille,24,2010,2/28/10,Short-Track Speed Skating,1,0,0,1
Jessica Gregg,21,2010,2/28/10,Short-Track Speed Skating,0,1,0,1
François Hamelin,23,2010,2/28/10,Short-Track Speed Skating,1,0,0,1
Olivier Jean,25,2010,2/28/10,Short-Track Speed Skating,1,0,0,1
Kalyna Roberge,23,2010,2/28/10,Short-Track Speed Skating,0,1,0,1
Tania Vicent,34,2010,2/28/10,Short-Track Speed Skating,0,1,0,1
Éric Bédard,29,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Jonathan Guilmette,27,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Charles Hamelin,21,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Alanna Kraus,28,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Amanda Overland,24,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Kalyna Roberge,19,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Mathieu Turcotte,29,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Tania Vicent,30,2006,2/26/06,Short-Track Speed Skating,0,1,0,1
Éric Bédard,25,2002,2/24/02,Short-Track Speed Skating,1,0,0,1
Isabelle Charest,31,2002,2/24/02,Short-Track Speed Skating,0,0,1,1
Marie-Eve Drolet,20,2002,2/24/02,Short-Track Speed Skating,0,0,1,1
Amélie Goulet-Nadon,19,2002,2/24/02,Short-Track Speed Skating,0,0,1,1
Alanna Kraus,24,2002,2/24/02,Short-Track Speed Skating,0,0,1,1
François-Louis Tremblay,21,2002,2/24/02,Short-Track Speed Skating,1,0,0,1
