Sun Yang,20,2012,8/12/12,Swimming,2,1,1,4
Pang Jiaying,23,2008,8/24/08,Swimming,0,1,2,3
Wang Meng,24,2010,2/28/10,Short-Track Speed Skating,3,0,0,3
Wang Meng,20,2006,2/26/06,Short-Track Speed Skating,1,1,1,3
Yang Yang (A),25,2002,2/24/02,Short-Track Speed Skating,2,1,0,3
Zou Kai,24,2012,8/12/12,Gymnastics,2,0,1,3
Cheng Fei,20,2008,8/24/08,Gymnastics,1,0,2,3
Yang Wei,28,2008,8/24/08,Gymnastics,2,1,0,3
Yang Yilin,15,2008,8/24/08,Gymnastics,1,0,2,3
Zou Kai,20,2008,8/24/08,Gymnastics,3,0,0,3
Guo Shuang,26,2012,8/12/12,Cycling,0,2,1,3
Ding Ning,22,2012,8/12/12,Table Tennis,1,1,0,2
Li Xiaoxia,24,2012,8/12/12,Table Tennis,2,0,0,2
Wang Hao,28,2012,8/12/12,Table Tennis,1,1,0,2
Zhang Jike,24,2012,8/12/12,Table Tennis,2,0,0,2
Guo Yue,20,2008,8/24/08,Table Tennis,1,0,1,2
Ma Lin,28,2008,8/24/08,Table Tennis,2,0,0,2
Wang Hao,24,2008,8/24/08,Table Tennis,1,1,0,2
Wang Liqin,30,2008,8/24/08,Table Tennis,1,0,1,2
Wang Nan,29,2008,8/24/08,Table Tennis,1,1,0,2
Zhang Yining,26,2008,8/24/08,Table Tennis,2,0,0,2
Zhang Yining,22,2004,8/29/04,Table Tennis,2,0,0,2
Kong Linghui,24,2000,10/1/00,Table Tennis,1,1,0,2
Li Ju,24,2000,10/1/00,Table Tennis,1,1,0,2
Liu Guoliang,24,2000,10/1/00,Table Tennis,0,1,1,2
Wang Nan,21,2000,10/1/00,Table Tennis,2,0,0,2
Huang Xuechen,22,2012,8/12/12,Synchronized Swimming,0,1,1,2
Liu Ou,25,2012,8/12/12,Synchronized Swimming,0,1,1,2
Ye Shiwen,16,2012,8/12/12,Swimming,2,0,0,2
Zhou Yang,18,2010,2/28/10,Short-Track Speed Skating,2,0,0,2
Li Jiajun,26,2002,2/24/02,Short-Track Speed Skating,0,1,1,2
Wang Chunlu,23,2002,2/24/02,Short-Track Speed Skating,0,1,1,2
Yang Yang (S),24,2002,2/24/02,Short-Track Speed Skating,0,1,1,2
Tao Luna,26,2000,10/1/00,Shooting,1,1,0,2
Chen Yibing,27,2012,8/12/12,Gymnastics,1,1,0,2
Feng Zhe,24,2012,8/12/12,Gymnastics,2,0,0,2
Chen Yibing,23,2008,8/24/08,Gymnastics,2,0,0,2
He Kexin,16,2008,8/24/08,Gymnastics,2,0,0,2
Li Xiaopeng,27,2008,8/24/08,Gymnastics,2,0,0,2
Xiao Qin,23,2008,8/24/08,Gymnastics,2,0,0,2
Li Xiaopeng,19,2000,10/1/00,Gymnastics,2,0,0,2
Liu Xuan,21,2000,10/1/00,Gymnastics,1,0,1,2
Yang Wei,20,2000,10/1/00,Gymnastics,1,1,0,2
Sun Yujie,19,2012,8/12/12,Fencing,1,0,1,2
Chen Ruolin,19,2012,8/12/12,Diving,2,0,0,2
He Zi,21,2012,8/12/12,Diving,1,1,0,2
Qin Kai,26,2012,8/12/12,Diving,1,1,0,2
Wu Minxia,26,2012,8/12/12,Diving,2,0,0,2
Chen Ruolin,15,2008,8/24/08,Diving,2,0,0,2
Guo Jingjing,26,2008,8/24/08,Diving,2,0,0,2
Qin Kai,22,2008,8/24/08,Diving,1,0,1,2
Wang Xin,16,2008,8/24/08,Diving,1,0,1,2
Wu Minxia,22,2008,8/24/08,Diving,1,0,1,2
Guo Jingjing,22,2004,8/29/04,Diving,2,0,0,2
Lao Lishi,16,2004,8/29/04,Diving,1,1,0,2
Tian Liang,24,2004,8/29/04,Diving,1,0,1,2
Wu Minxia,18,2004,8/29/04,Diving,1,1,0,2
Fu Mingxia,22,2000,10/1/00,Diving,1,1,0,2
Guo Jingjing,18,2000,10/1/00,Diving,0,2,0,2
Hu Jia,17,2000,10/1/00,Diving,0,2,0,2
Li Na,16,2000,10/1/00,Diving,1,1,0,2
Tian Liang,21,2000,10/1/00,Diving,1,1,0,2
Xiong Ni,26,2000,10/1/00,Diving,2,0,0,2
Zhao Yunlei,25,2012,8/12/12,Badminton,2,0,0,2
Yu Yang,22,2008,8/24/08,Badminton,1,0,1,2
Gao Ling,25,2004,8/29/04,Badminton,1,1,0,2
Gao Ling,21,2000,10/1/00,Badminton,1,0,1,2
Zhang Juanjuan,27,2008,8/24/08,Archery,1,1,0,2
Jing Ruixue,24,2012,8/12/12,Wrestling,0,1,0,1
Chang Yongxiang,24,2008,8/24/08,Wrestling,0,1,0,1
Wang Jiao,20,2008,8/24/08,Wrestling,1,0,0,1
Xu Li,18,2008,8/24/08,Wrestling,0,1,0,1
Wang Xu,18,2004,8/29/04,Wrestling,1,0,0,1
Sheng Zetian,27,2000,10/1/00,Wrestling,0,0,1,1
Li Xueying,22,2012,8/12/12,Weightlifting,1,0,0,1
Lin Qingfeng,23,2012,8/12/12,Weightlifting,1,0,0,1
Lu Haojie,21,2012,8/12/12,Weightlifting,0,1,0,1
Lu Xiaojun,28,2012,8/12/12,Weightlifting,1,0,0,1
Wang Mingjuan,26,2012,8/12/12,Weightlifting,1,0,0,1
Wu Jingbiao,23,2012,8/12/12,Weightlifting,0,1,0,1
Zhou Lulu,24,2012,8/12/12,Weightlifting,1,0,0,1
Cao Lei,24,2008,8/24/08,Weightlifting,1,0,0,1
Chen Xiexia,25,2008,8/24/08,Weightlifting,1,0,0,1
Chen Yanqing,29,2008,8/24/08,Weightlifting,1,0,0,1
Li Hongli,27,2008,8/24/08,Weightlifting,0,1,0,1
Liao Hui,20,2008,8/24/08,Weightlifting,1,0,0,1
Liu Chunhong,25,2008,8/24/08,Weightlifting,1,0,0,1
Long Qingquan,17,2008,8/24/08,Weightlifting,1,0,0,1
Lu Yong,22,2008,8/24/08,Weightlifting,1,0,0,1
Zhang Xiangxiang,25,2008,8/24/08,Weightlifting,1,0,0,1
Chen Yanqing,25,2004,8/29/04,Weightlifting,1,0,0,1
