Jackeline Rentería,26,2012,8/12/12,Wrestling,0,0,1,1
Jackeline Rentería,22,2008,8/24/08,Wrestling,0,0,1,1
Oscar Figueroa,29,2012,8/12/12,Weightlifting,0,1,0,1
Diego Fernando Salazar,27,2008,8/24/08,Weightlifting,0,1,0,1
Mabel Mosquera,35,2004,8/29/04,Weightlifting,0,0,1,1
María Isabel Urrutia,35,2000,10/1/00,Weightlifting,1,0,0,1
Oscar Muñoz,19,2012,8/12/12,Taekwondo,0,0,1,1
Yuri Alvear,26,2012,8/12/12,Judo,0,0,1,1
Carlos Oquendo,24,2012,8/12/12,Cycling,0,0,1,1
Mariana Pajón,20,2012,8/12/12,Cycling,1,0,0,1
Rigoberto Urán,25,2012,8/12/12,Cycling,0,1,0,1
María Luisa Calle,35,2004,8/29/04,Cycling,0,0,1,1
Caterine Ibargüén,28,2012,8/12/12,Athletics,0,1,0,1
