Liván López,30,2012,8/12/12,Wrestling,0,0,1,1
Mijaín López,29,2012,8/12/12,Wrestling,1,0,0,1
Mijaín López,25,2008,8/24/08,Wrestling,1,0,0,1
Iván Fundora,28,2004,8/29/04,Wrestling,0,0,1,1
Roberto Monzón,26,2004,8/29/04,Wrestling,0,1,0,1
Yandro Quintana,24,2004,8/29/04,Wrestling,1,0,0,1
Filiberto Azcuy,27,2000,10/1/00,Wrestling,1,0,0,1
Juan Luis Marén,29,2000,10/1/00,Wrestling,0,1,0,1
Lázaro Rivas,25,2000,10/1/00,Wrestling,0,1,0,1
Alexis Rodríguez,22,2000,10/1/00,Wrestling,0,0,1,1
Yoel Romero,23,2000,10/1/00,Wrestling,0,1,0,1
Iván Cambar,28,2012,8/12/12,Weightlifting,0,0,1,1
Zoila Barros,28,2004,8/29/04,Volleyball,0,0,1,1
Rosir Calderon,19,2004,8/29/04,Volleyball,0,0,1,1
Nancy Carrillo,18,2004,8/29/04,Volleyball,0,0,1,1
Ana Ivis Fernández,31,2004,8/29/04,Volleyball,0,0,1,1
Mayvelis Martínez,27,2004,8/29/04,Volleyball,0,0,1,1
Liana Mesa,26,2004,8/29/04,Volleyball,0,0,1,1
Anniara Muñoz,24,2004,8/29/04,Volleyball,0,0,1,1
Yaima Ortíz,22,2004,8/29/04,Volleyball,0,0,1,1
Daimí Ramírez,20,2004,8/29/04,Volleyball,0,0,1,1
Yumilka Ruíz,26,2004,8/29/04,Volleyball,0,0,1,1
Marta Sánchez,31,2004,8/29/04,Volleyball,0,0,1,1
Dulce Téllez,20,2004,8/29/04,Volleyball,0,0,1,1
Tai Aguero,23,2000,10/1/00,Volleyball,1,0,0,1
Regla Bell,30,2000,10/1/00,Volleyball,1,0,0,1
Marlenis Costa,27,2000,10/1/00,Volleyball,1,0,0,1
Ana Ivis Fernández,27,2000,10/1/00,Volleyball,1,0,0,1
Mirka Francis,25,2000,10/1/00,Volleyball,1,0,0,1
Mireya Luis,33,2000,10/1/00,Volleyball,1,0,0,1
Yumilka Ruíz,22,2000,10/1/00,Volleyball,1,0,0,1
Regla Torres,25,2000,10/1/00,Volleyball,1,0,0,1
Robelis Despaigne,24,2012,8/12/12,Taekwondo,0,0,1,1
Daynellis Montejo,23,2008,8/24/08,Taekwondo,0,0,1,1
Yanely Labrada,22,2004,8/29/04,Taekwondo,0,1,0,1
Ángel Matos,23,2000,10/1/00,Taekwondo,1,0,0,1
Urbia Meléndez,28,2000,10/1/00,Taekwondo,0,1,0,1
Leuris Pupo,35,2012,8/12/12,Shooting,1,0,0,1
Eglis Yaima Cruz,28,2008,8/24/08,Shooting,0,0,1,1
