Michael Maze,22,2004,8/29/04,Table Tennis,0,0,1,1
Finn Tugwell,28,2004,8/29/04,Table Tennis,0,0,1,1
Lotte Friis,20,2008,8/24/08,Swimming,0,0,1,1
Anders Golding,28,2012,8/12/12,Shooting,0,1,0,1
Torben Grimmel,24,2000,10/1/00,Shooting,0,1,0,1
Jonas Høgh Christensen,31,2012,8/12/12,Sailing,0,1,0,1
Peter Lang,23,2012,8/12/12,Sailing,0,0,1,1
Allan Nørregaard,31,2012,8/12/12,Sailing,0,0,1,1
Martin Kirketerp,36,2008,8/24/08,Sailing,1,0,0,1
Jonas Warrer,29,2008,8/24/08,Sailing,1,0,0,1
Dorte Jensen,31,2004,8/29/04,Sailing,0,0,1,1
Helle Jespersen,36,2004,8/29/04,Sailing,0,0,1,1
Signe Livbjerg,24,2004,8/29/04,Sailing,0,0,1,1
Christina Otzen,28,2004,8/29/04,Sailing,0,0,1,1
Jesper Bank,43,2000,10/1/00,Sailing,1,0,0,1
Henrik Blakskjær,29,2000,10/1/00,Sailing,1,0,0,1
Thomas Jacobsen,28,2000,10/1/00,Sailing,1,0,0,1
Jacob Barsøe,23,2012,8/12/12,Rowing,0,0,1,1
Eskild Ebbesen,40,2012,8/12/12,Rowing,0,0,1,1
Fie Udby Erichsen,27,2012,8/12/12,Rowing,0,1,0,1
Morten Jørgensen,27,2012,8/12/12,Rowing,0,0,1,1
Rasmus Quist,32,2012,8/12/12,Rowing,1,0,0,1
Mads Rasmussen,30,2012,8/12/12,Rowing,1,0,0,1
Kasper Winther Jørgensen,27,2012,8/12/12,Rowing,0,0,1,1
Mads Andersen,30,2008,8/24/08,Rowing,1,0,0,1
Eskild Ebbesen,36,2008,8/24/08,Rowing,1,0,0,1
Thomas Ebert,35,2008,8/24/08,Rowing,1,0,0,1
Morten Jørgensen,23,2008,8/24/08,Rowing,1,0,0,1
Rasmus Quist,28,2008,8/24/08,Rowing,0,0,1,1
Mads Rasmussen,26,2008,8/24/08,Rowing,0,0,1,1
Eskild Ebbesen,32,2004,8/29/04,Rowing,1,0,0,1
Thomas Ebert,31,2004,8/29/04,Rowing,1,0,0,1
Thor Kristensen,24,2004,8/29/04,Rowing,1,0,0,1
Stephan Mølvig,25,2004,8/29/04,Rowing,1,0,0,1
Eskild Ebbesen,28,2000,10/1/00,Rowing,0,0,1,1
Thomas Ebert,27,2000,10/1/00,Rowing,0,0,1,1
Victor Feddersen,32,2000,10/1/00,Rowing,0,0,1,1
Søren Madsen,24,2000,10/1/00,Rowing,0,0,1,1
Kristine Andersen,28,2004,8/29/04,Handball,1,0,0,1
Karen Brødsgaard,26,2004,8/29/04,Handball,1,0,0,1
Line Daugaard,26,2004,8/29/04,Handball,1,0,0,1
Katrine Fruelund,26,2004,8/29/04,Handball,1,0,0,1
Rikke Hørlykke,28,2004,8/29/04,Handball,1,0,0,1
Trine Jensen,23,2004,8/29/04,Handball,1,0,0,1
Lotte Kiærskou,29,2004,8/29/04,Handball,1,0,0,1
Henriette Mikkelsen,23,2004,8/29/04,Handball,1,0,0,1
Karin Mortensen,26,2004,8/29/04,Handball,1,0,0,1
Louise Bager Nørgaard,22,2004,8/29/04,Handball,1,0,0,1
Rikke Petersen-Schmidt,29,2004,8/29/04,Handball,1,0,0,1
Rikke Skov,23,2004,8/29/04,Handball,1,0,0,1
Camilla Thomsen,29,2004,8/29/04,Handball,1,0,0,1
Josephine Touray,24,2004,8/29/04,Handball,1,0,0,1
Mette Vestergaard,28,2004,8/29/04,Handball,1,0,0,1
Camilla Andersen,27,2000,10/1/00,Handball,1,0,0,1
Karen Brødsgaard,22,2000,10/1/00,Handball,1,0,0,1
Tina Bøttzau,29,2000,10/1/00,Handball,1,0,0,1
Katrine Fruelund,22,2000,10/1/00,Handball,1,0,0,1
Maja Grønbek,29,2000,10/1/00,Handball,1,0,0,1
Anette Hoffmann-Møberg,29,2000,10/1/00,Handball,1,0,0,1
Lotte Kiærskou,25,2000,10/1/00,Handball,1,0,0,1
Tonje Kjærgaard,25,2000,10/1/00,Handball,1,0,0,1
Janne Kolling,32,2000,10/1/00,Handball,1,0,0,1
Karin Mortensen,22,2000,10/1/00,Handball,1,0,0,1
Anja Nielsen,25,2000,10/1/00,Handball,1,0,0,1
Rikke Petersen-Schmidt,25,2000,10/1/00,Handball,1,0,0,1
Lene Rantala,32,2000,10/1/00,Handball,1,0,0,1
Christina Roslyng,22,2000,10/1/00,Handball,1,0,0,1
Mette Vestergaard,24,2000,10/1/00,Handball,1,0,0,1
Andreas Helgstrand,30,2008,8/24/08,Equestrian,0,0,1,1
Anne Jensen-van Olst,46,2008,8/24/08,Equestrian,0,0,1,1
Nathalie zu Sayn-Wittgenstein,33,2008,8/24/08,Equestrian,0,0,1,1
Lasse Norman Hansen,20,2012,8/12/12,Cycling,1,0,0,1
Michael Færk Christensen,22,2008,8/24/08,Cycling,0,1,0,1
Casper Jørgensen,22,2008,8/24/08,Cycling,0,1,0,1
Jens-Erik Madsen,27,2008,8/24/08,Cycling,0,1,0,1
Michael Mørkøv,23,2008,8/24/08,Cycling,0,1,0,1
Alex Rasmussen,24,2008,8/24/08,Cycling,0,1,0,1
Kim Knudsen,30,2008,8/24/08,Canoeing,0,1,0,1
René Poulsen,19,2008,8/24/08,Canoeing,0,1,0,1
Mathias Boe,32,2012,8/12/12,Badminton,0,1,0,1
Carsten Mogensen,29,2012,8/12/12,Badminton,0,1,0,1
Joachim Fischer Nielsen,33,2012,8/12/12,Badminton,0,0,1,1
Christinna Pedersen,26,2012,8/12/12,Badminton,0,0,1,1
Jens Eriksen,34,2004,8/29/04,Badminton,0,0,1,1
Mette Schjoldager,27,2004,8/29/04,Badminton,0,0,1,1
Camilla Martin,26,2000,10/1/00,Badminton,0,1,0,1
Wilson Kipketer,33,2004,8/29/04,Athletics,0,0,1,1
Joachim Olsen,27,2004,8/29/04,Athletics,0,0,1,1
Wilson Kipketer,29,2000,10/1/00,Athletics,0,1,0,1
