Kristina Šmigun-Vähi,28,2006,2/26/06,Cross Country Skiing,2,0,0,2
Andrus Veerpalu,31,2002,2/24/02,Cross Country Skiing,1,1,0,2
Heiki Nabi,27,2012,8/12/12,Wrestling,0,1,0,1
Tõnu Endrekson,29,2008,8/24/08,Rowing,0,1,0,1
Jüri Jaanson,42,2008,8/24/08,Rowing,0,1,0,1
Jüri Jaanson,38,2004,8/29/04,Rowing,0,1,0,1
Indrek Pertelson,33,2004,8/29/04,Judo,0,0,1,1
Aleksei Budõlin,24,2000,10/1/00,Judo,0,0,1,1
Indrek Pertelson,29,2000,10/1/00,Judo,0,0,1,1
Kristina Šmigun-Vähi,32,2010,2/28/10,Cross Country Skiing,0,1,0,1
Andrus Veerpalu,35,2006,2/26/06,Cross Country Skiing,1,0,0,1
Jaak Mae,29,2002,2/24/02,Cross Country Skiing,0,0,1,1
Gerd Kanter,33,2012,8/12/12,Athletics,0,0,1,1
Gerd Kanter,29,2008,8/24/08,Athletics,1,0,0,1
Aleksander Tammert,31,2004,8/29/04,Athletics,0,0,1,1
Erki Nool,30,2000,10/1/00,Athletics,1,0,0,1
