Tirunesh Dibaba,27,2012,8/12/12,Athletics,1,0,1,2
Kenenisa Bekele,26,2008,8/24/08,Athletics,2,0,0,2
Tirunesh Dibaba,23,2008,8/24/08,Athletics,2,0,0,2
Kenenisa Bekele,22,2004,8/29/04,Athletics,1,1,0,2
Gete Wami,25,2000,10/1/00,Athletics,0,1,1,2
Sofia Assefa,24,2012,8/12/12,Athletics,0,0,1,1
Tariku Bekele,25,2012,8/12/12,Athletics,0,0,1,1
Meseret Defar,28,2012,8/12/12,Athletics,1,0,0,1
Dejen Gebremeskel,22,2012,8/12/12,Athletics,0,1,0,1
Tiki Gelana,24,2012,8/12/12,Athletics,1,0,0,1
Meseret Defar,24,2008,8/24/08,Athletics,0,0,1,1
Tsegaye Kebede,21,2008,8/24/08,Athletics,0,0,1,1
Sileshi Sihine,25,2008,8/24/08,Athletics,0,1,0,1
Meseret Defar,20,2004,8/29/04,Athletics,1,0,0,1
Ejegayehu Dibaba,22,2004,8/29/04,Athletics,0,1,0,1
Tirunesh Dibaba,19,2004,8/29/04,Athletics,0,0,1,1
Sileshi Sihine,21,2004,8/29/04,Athletics,0,1,0,1
Derartu Tulu,32,2004,8/29/04,Athletics,0,0,1,1
Gezahgne Abera,22,2000,10/1/00,Athletics,1,0,0,1
Haile Gebrselassie,27,2000,10/1/00,Athletics,1,0,0,1
Assefa Mezegebu,22,2000,10/1/00,Athletics,0,0,1,1
Tesfaye Tola,25,2000,10/1/00,Athletics,0,0,1,1
Derartu Tulu,28,2000,10/1/00,Athletics,1,0,0,1
Million Wolde,21,2000,10/1/00,Athletics,1,0,0,1
