Samppa Lajunen,22,2002,2/24/02,Nordic Combined,3,0,0,3
Matti Hautamäki,24,2006,2/26/06,Ski Jumping,0,2,0,2
Matti Hautamäki,20,2002,2/24/02,Ski Jumping,0,1,1,2
Jaakko Tallus,20,2002,2/24/02,Nordic Combined,1,1,0,2
Aino-Kaisa Saarinen,31,2010,2/28/10,Cross Country Skiing,0,0,2,2
Marko Yli-Hannuksela,30,2004,8/29/04,Wrestling,0,1,0,1
Marko Yli-Hannuksela,26,2000,10/1/00,Wrestling,0,0,1,1
Peetu Piiroinen,22,2010,2/28/10,Snowboarding,0,1,0,1
Markku Koski,24,2006,2/26/06,Snowboarding,0,0,1,1
Janne Ahonen,28,2006,2/26/06,Ski Jumping,0,1,0,1
Janne Happonen,21,2006,2/26/06,Ski Jumping,0,1,0,1
Tami Kiuru,29,2006,2/26/06,Ski Jumping,0,1,0,1
Janne Ahonen,24,2002,2/24/02,Ski Jumping,0,1,0,1
Risto Jussilainen,26,2002,2/24/02,Ski Jumping,0,1,0,1
Veli-Matti Lindström,18,2002,2/24/02,Ski Jumping,0,1,0,1
Henri Häkkinen,28,2008,8/24/08,Shooting,0,0,1,1
Satu Mäkelä-Nummela,37,2008,8/24/08,Shooting,1,0,0,1
Marko Kemppainen,28,2004,8/29/04,Shooting,0,1,0,1
Juha Hirvi,40,2000,10/1/00,Shooting,0,1,0,1
Silja Kanerva,27,2012,8/12/12,Sailing,0,0,1,1
Silja Lehtinen,26,2012,8/12/12,Sailing,0,0,1,1
Tuuli Petäjä,28,2012,8/12/12,Sailing,0,1,0,1
Mikaela Wulff,22,2012,8/12/12,Sailing,0,0,1,1
Jyrki Järvi,34,2000,10/1/00,Sailing,1,0,0,1
Thomas Johanson,31,2000,10/1/00,Sailing,1,0,0,1
Minna Nieminen,31,2008,8/24/08,Rowing,0,1,0,1
Sanna Stén,31,2008,8/24/08,Rowing,0,1,0,1
Anssi Koivuranta,17,2006,2/26/06,Nordic Combined,0,0,1,1
Antti Kuisma,27,2006,2/26/06,Nordic Combined,0,0,1,1
Hannu Manninen,27,2006,2/26/06,Nordic Combined,0,0,1,1
Jaakko Tallus,24,2006,2/26/06,Nordic Combined,0,0,1,1
Hannu Manninen,23,2002,2/24/02,Nordic Combined,1,0,0,1
Jari Mantila,30,2002,2/24/02,Nordic Combined,1,0,0,1
Niklas Bäckström,32,2010,2/28/10,Ice Hockey,0,0,1,1
Valtteri Filppula,25,2010,2/28/10,Ice Hockey,0,0,1,1
Niklas Hagman,30,2010,2/28/10,Ice Hockey,0,0,1,1
Anne Helin,23,2010,2/28/10,Ice Hockey,0,0,1,1
Jenni Hiirikoski,22,2010,2/28/10,Ice Hockey,0,0,1,1
Venla Hovi,22,2010,2/28/10,Ice Hockey,0,0,1,1
Jarkko Immonen,27,2010,2/28/10,Ice Hockey,0,0,1,1
Olli Jokinen,31,2010,2/28/10,Ice Hockey,0,0,1,1
Niko Kapanen,31,2010,2/28/10,Ice Hockey,0,0,1,1
Michelle Karvinen,19,2010,2/28/10,Ice Hockey,0,0,1,1
Miikka Kiprusoff,33,2010,2/28/10,Ice Hockey,0,0,1,1
Mikko Koivu,26,2010,2/28/10,Ice Hockey,0,0,1,1
Saku Koivu,35,2010,2/28/10,Ice Hockey,0,0,1,1
Lasse Kukkonen,28,2010,2/28/10,Ice Hockey,0,0,1,1
Emma Laaksonen,28,2010,2/28/10,Ice Hockey,0,0,1,1
Jere Lehtinen,36,2010,2/28/10,Ice Hockey,0,0,1,1
Sami Lepistö,25,2010,2/28/10,Ice Hockey,0,0,1,1
Rosa Lindstedt,22,2010,2/28/10,Ice Hockey,0,0,1,1
Toni Lydman,32,2010,2/28/10,Ice Hockey,0,0,1,1
Terhi Mertanen,28,2010,2/28/10,Ice Hockey,0,0,1,1
Antti Miettinen,29,2010,2/28/10,Ice Hockey,0,0,1,1
Janne Niskala,28,2010,2/28/10,Ice Hockey,0,0,1,1
Ville Peltonen,36,2010,2/28/10,Ice Hockey,0,0,1,1
Heidi Pelttari,24,2010,2/28/10,Ice Hockey,0,0,1,1
Joni Pitkänen,26,2010,2/28/10,Ice Hockey,0,0,1,1
Mariia Posa,21,2010,2/28/10,Ice Hockey,0,0,1,1
Annina Rajahuhta,20,2010,2/28/10,Ice Hockey,0,0,1,1
Karoliina Rantamäki,31,2010,2/28/10,Ice Hockey,0,0,1,1
Noora Räty,20,2010,2/28/10,Ice Hockey,0,0,1,1
Jarkko Ruutu,34,2010,2/28/10,Ice Hockey,0,0,1,1
Tuomo Ruutu,27,2010,2/28/10,Ice Hockey,0,0,1,1
Mari Saarinen,28,2010,2/28/10,Ice Hockey,0,0,1,1
Sami Salo,35,2010,2/28/10,Ice Hockey,0,0,1,1
Teemu Selänne,39,2010,2/28/10,Ice Hockey,0,0,1,1
Saija Sirviö,27,2010,2/28/10,Ice Hockey,0,0,1,1
Nina Tikkinen,23,2010,2/28/10,Ice Hockey,0,0,1,1
Kimmo Timonen,34,2010,2/28/10,Ice Hockey,0,0,1,1
Minnamari Tuominen,19,2010,2/28/10,Ice Hockey,0,0,1,1
Saara Tuominen,24,2010,2/28/10,Ice Hockey,0,0,1,1
Linda Välimäki,19,2010,2/28/10,Ice Hockey,0,0,1,1
Marjo Voutilainen,28,2010,2/28/10,Ice Hockey,0,0,1,1
Aki Berg,28,2006,2/26/06,Ice Hockey,0,1,0,1
Niklas Hagman,26,2006,2/26/06,Ice Hockey,0,1,0,1
Jukka Hentunen,31,2006,2/26/06,Ice Hockey,0,1,0,1
Jussi Jokinen,22,2006,2/26/06,Ice Hockey,0,1,0,1
Olli Jokinen,27,2006,2/26/06,Ice Hockey,0,1,0,1
Niko Kapanen,27,2006,2/26/06,Ice Hockey,0,1,0,1
Mikko Koivu,22,2006,2/26/06,Ice Hockey,0,1,0,1
Saku Koivu,31,2006,2/26/06,Ice Hockey,0,1,0,1
Lasse Kukkonen,24,2006,2/26/06,Ice Hockey,0,1,0,1
Antti Laaksonen,32,2006,2/26/06,Ice Hockey,0,1,0,1
Jere Lehtinen,32,2006,2/26/06,Ice Hockey,0,1,0,1
Toni Lydman,28,2006,2/26/06,Ice Hockey,0,1,0,1
Antti-Jussi Niemi,28,2006,2/26/06,Ice Hockey,0,1,0,1
Ville Nieminen,28,2006,2/26/06,Ice Hockey,0,1,0,1
Antero Niittymäki,25,2006,2/26/06,Ice Hockey,0,1,0,1
Fredrik Norrena,32,2006,2/26/06,Ice Hockey,0,1,0,1
Petteri Nummelin,33,2006,2/26/06,Ice Hockey,0,1,0,1
Teppo Numminen,37,2006,2/26/06,Ice Hockey,0,1,0,1
Ville Peltonen,32,2006,2/26/06,Ice Hockey,0,1,0,1
Jarkko Ruutu,30,2006,2/26/06,Ice Hockey,0,1,0,1
