Yannick Agnel,20,2012,8/12/12,Swimming,2,1,0,3
Camille Muffat,22,2012,8/12/12,Swimming,1,1,1,3
Alain Bernard,25,2008,8/24/08,Swimming,1,1,1,3
Laure Manaudou,17,2004,8/29/04,Swimming,1,1,1,3
Florian Rousseau,26,2000,10/1/00,Cycling,2,1,0,3
Clément Lefert,24,2012,8/12/12,Swimming,1,1,0,2
Amaury Leveaux,26,2012,8/12/12,Swimming,1,1,0,2
Jeremy Stravius,24,2012,8/12/12,Swimming,1,1,0,2
Hugues Duboscq,26,2008,8/24/08,Swimming,0,0,2,2
Amaury Leveaux,22,2008,8/24/08,Swimming,0,2,0,2
Fabrice Jeannet,27,2008,8/24/08,Fencing,1,1,0,2
Nicolas Lopez,27,2008,8/24/08,Fencing,1,1,0,2
Laura Flessel-Colovic,32,2004,8/29/04,Fencing,0,1,1,2
Maureen Nisima,23,2004,8/29/04,Fencing,0,0,2,2
Mathieu Gourdain,26,2000,10/1/00,Fencing,0,2,0,2
Hugues Obry,27,2000,10/1/00,Fencing,0,2,0,2
Grégory Baugé,27,2012,8/12/12,Cycling,0,2,0,2
Mickaël Bourgain,28,2008,8/24/08,Cycling,0,1,1,2
Arnaud Tournant,26,2004,8/29/04,Cycling,0,1,1,2
Félicia Ballanger,29,2000,10/1/00,Cycling,2,0,0,2
Marie Laure Brunet,21,2010,2/28/10,Biathlon,0,1,1,2
Marie Dorin,23,2010,2/28/10,Biathlon,0,1,1,2
Vincent Jay,24,2010,2/28/10,Biathlon,1,0,1,2
Florence Baverel-Robert,31,2006,2/26/06,Biathlon,1,0,1,2
Vincent Defrasne,28,2006,2/26/06,Biathlon,1,0,1,2
Raphaël Poirée,27,2002,2/24/02,Biathlon,0,1,1,2
Steeve Guénot,26,2012,8/12/12,Wrestling,0,0,1,1
Christophe Guénot,29,2008,8/24/08,Wrestling,0,0,1,1
Steeve Guénot,22,2008,8/24/08,Wrestling,1,0,0,1
Lise Golliot-Legrand,27,2004,8/29/04,Wrestling,0,0,1,1
Anna Gomis,30,2004,8/29/04,Wrestling,0,0,1,1
Vencelas Dabaya,27,2008,8/24/08,Weightlifting,0,1,0,1
Patrick Chila,30,2000,10/1/00,Table Tennis,0,0,1,1
Jean-Philippe Gatien,31,2000,10/1/00,Table Tennis,0,0,1,1
Anne-Caroline Graffe,26,2012,8/12/12,Taekwondo,0,1,0,1
Marlene Harnois,25,2012,8/12/12,Taekwondo,0,0,1,1
Gwladys Epangue,25,2008,8/24/08,Taekwondo,0,0,1,1
Myriam Baverel,23,2004,8/29/04,Taekwondo,0,1,0,1
Pascal Gentil,31,2004,8/29/04,Taekwondo,0,0,1,1
Pascal Gentil,27,2000,10/1/00,Taekwondo,0,0,1,1
Julien Benneteau,30,2012,8/12/12,Tennis,0,0,1,1
Richard Gasquet,26,2012,8/12/12,Tennis,0,0,1,1
Michaël Llodra,32,2012,8/12/12,Tennis,0,1,0,1
