Antje Buschschulte,25,2004,8/29/04,Swimming,0,0,3,3
Stephanie Beckert,21,2010,2/28/10,Speed Skating,1,2,0,3
Sabine Völker,28,2002,2/24/02,Speed Skating,0,2,1,3
Georg Hettich,27,2006,2/26/06,Nordic Combined,1,1,1,3
Magdalena Neuner,23,2010,2/28/10,Biathlon,2,1,0,3
Sven Fischer,34,2006,2/26/06,Biathlon,2,0,1,3
Martina Glagow-Beck,26,2006,2/26/06,Biathlon,0,3,0,3
Michael Greis,29,2006,2/26/06,Biathlon,3,0,0,3
Kati Wilhelm,29,2006,2/26/06,Biathlon,1,2,0,3
Kati Wilhelm,25,2002,2/24/02,Biathlon,2,1,0,3
Dmitrij Ovtcharov,23,2012,8/12/12,Table Tennis,0,0,2,2
Britta Steffen,24,2008,8/24/08,Swimming,2,0,0,2
Franziska van Almsick,26,2004,8/29/04,Swimming,0,0,2,2
Stev Theloke,22,2000,10/1/00,Swimming,0,0,2,2
Anni Friesinger-Postma,29,2006,2/26/06,Speed Skating,1,0,1,2
Claudia Pechstein,33,2006,2/26/06,Speed Skating,1,1,0,2
Claudia Pechstein,29,2002,2/24/02,Speed Skating,2,0,0,2
Sven Hannawald,27,2002,2/24/02,Ski Jumping,1,1,0,2
Ronny Ackermann,24,2002,2/24/02,Nordic Combined,0,2,0,2
Marcel Nguyen,24,2012,8/12/12,Gymnastics,0,2,0,2
Rita König,23,2000,10/1/00,Fencing,0,1,1,2
Wiradech Kothny,21,2000,10/1/00,Fencing,0,0,2,2
Sandra Auffarth,25,2012,8/12/12,Equestrian,1,0,1,2
Michael Jung,29,2012,8/12/12,Equestrian,2,0,0,2
Heike Kemmer,46,2008,8/24/08,Equestrian,1,0,1,2
Hinrich Romeike,45,2008,8/24/08,Equestrian,2,0,0,2
Isabell Werth,39,2008,8/24/08,Equestrian,1,1,0,2
Marco Kutscher,29,2004,8/29/04,Equestrian,0,0,2,2
Ulla Salzgeber,46,2004,8/29/04,Equestrian,1,1,0,2
Ulla Salzgeber,42,2000,10/1/00,Equestrian,1,0,1,2
Isabell Werth,31,2000,10/1/00,Equestrian,1,1,0,2
Maximilian Levy,25,2012,8/12/12,Cycling,0,1,1,2
Stefan Nimke,26,2004,8/29/04,Cycling,1,0,1,2
René Wolff,26,2004,8/29/04,Cycling,1,0,1,2
Robert Bartko,24,2000,10/1/00,Cycling,2,0,0,2
Jens Fiedler,30,2000,10/1/00,Cycling,0,0,2,2
Jens Lehmann,32,2000,10/1/00,Cycling,1,1,0,2
Jan Ullrich,26,2000,10/1/00,Cycling,1,1,0,2
Claudia Künzel-Nystad,32,2010,2/28/10,Cross Country Skiing,1,1,0,2
Evi Sachenbacher-Stehle,29,2010,2/28/10,Cross Country Skiing,1,1,0,2
Axel Teichmann,30,2010,2/28/10,Cross Country Skiing,0,2,0,2
Tobias Angerer,28,2006,2/26/06,Cross Country Skiing,0,1,1,2
Claudia Künzel-Nystad,28,2006,2/26/06,Cross Country Skiing,0,2,0,2
Viola Bauer,25,2002,2/24/02,Cross Country Skiing,1,0,1,2
Evi Sachenbacher-Stehle,21,2002,2/24/02,Cross Country Skiing,1,1,0,2
Tina Dietze,24,2012,8/12/12,Canoeing,1,1,0,2
Franziska Weber,23,2012,8/12/12,Canoeing,1,1,0,2
Christian Gille,32,2008,8/24/08,Canoeing,0,1,1,2
Katrin Wagner-Augustin,30,2008,8/24/08,Canoeing,1,0,1,2
Tomasz Wylenzek,25,2008,8/24/08,Canoeing,0,1,1,2
Andreas Dittmer,32,2004,8/29/04,Canoeing,1,1,0,2
Birgit Fischer-Schmidt,42,2004,8/29/04,Canoeing,1,1,0,2
Carolin Leonhardt,19,2004,8/29/04,Canoeing,1,1,0,2
Andreas Dittmer,28,2000,10/1/00,Canoeing,1,0,1,2
Birgit Fischer-Schmidt,38,2000,10/1/00,Canoeing,2,0,0,2
Katrin Wagner-Augustin,22,2000,10/1/00,Canoeing,2,0,0,2
Kevin Kuske,31,2010,2/28/10,Bobsleigh,1,1,0,2
André Lange,36,2010,2/28/10,Bobsleigh,1,1,0,2
Kevin Kuske,27,2006,2/26/06,Bobsleigh,2,0,0,2
André Lange,32,2006,2/26/06,Bobsleigh,2,0,0,2
Simone Hauswald,30,2010,2/28/10,Biathlon,0,0,2,2
Uschi Disl,31,2002,2/24/02,Biathlon,1,1,0,2
Sven Fischer,30,2002,2/24/02,Biathlon,0,2,0,2
Ricco Groß,31,2002,2/24/02,Biathlon,0,1,1,2
Andrea Henkel,24,2002,2/24/02,Biathlon,2,0,0,2
Frank Luck,34,2002,2/24/02,Biathlon,0,2,0,2
Maria Riesch,25,2010,2/28/10,Alpine Skiing,2,0,0,2
Mirko Englich,29,2008,8/24/08,Wrestling,0,1,0,1
Matthias Steiner,25,2008,8/24/08,Weightlifting,1,0,0,1
Marc Huster,30,2000,10/1/00,Weightlifting,0,1,0,1
Ronny Weller,31,2000,10/1/00,Weightlifting,0,1,0,1
Timo Boll,31,2012,8/12/12,Table Tennis,0,0,1,1
Bastian Steger,31,2012,8/12/12,Table Tennis,0,0,1,1
Timo Boll,27,2008,8/24/08,Table Tennis,0,1,0,1
Dmitrij Ovtcharov,19,2008,8/24/08,Table Tennis,0,1,0,1
Christian Süß,23,2008,8/24/08,Table Tennis,0,1,0,1
Jan Frodeno,27,2008,8/24/08,Triathlon,1,0,0,1
Stephan Vuckovic,28,2000,10/1/00,Triathlon,0,1,0,1
Anna Dogonadze-Lilkendey,31,2004,8/29/04,Trampoline,1,0,0,1
Henrik Stehlik,23,2004,8/29/04,Trampoline,0,0,1,1
Helena Fromm,25,2012,8/12/12,Taekwondo,0,0,1,1
Faissal Ebnoutalib,29,2000,10/1/00,Taekwondo,0,1,0,1
Nicolas Kiefer,27,2004,8/29/04,Tennis,0,1,0,1
Rainer Schüttler,28,2004,8/29/04,Tennis,0,1,0,1
Tommy Haas,22,2000,10/1/00,Tennis,0,1,0,1
Thomas Lurz,32,2012,8/12/12,Swimming,0,1,0,1
Thomas Lurz,28,2008,8/24/08,Swimming,0,0,1,1
