Sturla Ásgeirsson,28,2008,8/24/08,Handball,0,1,0,1
Arnór Atlason,24,2008,8/24/08,Handball,0,1,0,1
Logi Geirsson,25,2008,8/24/08,Handball,0,1,0,1
Róbert Gunnarsson,28,2008,8/24/08,Handball,0,1,0,1
Björgvin Gustavsson,23,2008,8/24/08,Handball,0,1,0,1
Snorri Guðjónsson,26,2008,8/24/08,Handball,0,1,0,1
Hreiðar Guðmundsson,27,2008,8/24/08,Handball,0,1,0,1
Ásgeir Örn Hallgrímsson,24,2008,8/24/08,Handball,0,1,0,1
Ingimundur Ingimundarson,28,2008,8/24/08,Handball,0,1,0,1
Sverre Jakobsson,31,2008,8/24/08,Handball,0,1,0,1
Alexander Petersson,28,2008,8/24/08,Handball,0,1,0,1
Guðjón Valur Sigurðsson,29,2008,8/24/08,Handball,0,1,0,1
Sigfús Sigurðsson,33,2008,8/24/08,Handball,0,1,0,1
Ólafur Stefánsson,35,2008,8/24/08,Handball,0,1,0,1
Vala Flosadóttir,22,2000,10/1/00,Athletics,0,0,1,1
