Yogeshwar Dutt,29,2012,8/12/12,Wrestling,0,0,1,1
Sushil Kumar,29,2012,8/12/12,Wrestling,0,1,0,1
Sushil Kumar,25,2008,8/24/08,Wrestling,0,0,1,1
Karnam Malleswari,25,2000,10/1/00,Weightlifting,0,0,1,1
Vijay Kumar,26,2012,8/12/12,Shooting,0,1,0,1
Gagan Narang,29,2012,8/12/12,Shooting,0,0,1,1
Abhinav Bindra,25,2008,8/24/08,Shooting,1,0,0,1
Rajyavardhan Rathore,34,2004,8/29/04,Shooting,0,1,0,1
M. C. Mary Kom,29,2012,8/12/12,Boxing,0,0,1,1
Vijender Singh,22,2008,8/24/08,Boxing,0,0,1,1
Saina Nehwal,22,2012,8/12/12,Badminton,0,0,1,1
