Eko Irawan,23,2012,8/12/12,Weightlifting,0,0,1,1
Triyatno,24,2012,8/12/12,Weightlifting,0,1,0,1
Eko Irawan,19,2008,8/24/08,Weightlifting,0,0,1,1
Triyatno,20,2008,8/24/08,Weightlifting,0,0,1,1
Raema Lisa Rumbewas,23,2004,8/29/04,Weightlifting,0,1,0,1
Sri Indriyani,21,2000,10/1/00,Weightlifting,0,0,1,1
Raema Lisa Rumbewas,19,2000,10/1/00,Weightlifting,0,1,0,1
Winarni Binti Slamet,24,2000,10/1/00,Weightlifting,0,0,1,1
Markis Kido,24,2008,8/24/08,Badminton,1,0,0,1
Lilyana Natsir,22,2008,8/24/08,Badminton,0,1,0,1
Hendra Setiawan,23,2008,8/24/08,Badminton,1,0,0,1
Nova Widianto,30,2008,8/24/08,Badminton,0,1,0,1
Maria Yulianti,23,2008,8/24/08,Badminton,0,0,1,1
Hian Eng,27,2004,8/29/04,Badminton,0,0,1,1
Taufik Hidayat,23,2004,8/29/04,Badminton,1,0,0,1
Sony Dwi Kuncoro,20,2004,8/29/04,Badminton,0,0,1,1
Flandy Limpele,30,2004,8/29/04,Badminton,0,0,1,1
Tony Gunawan,25,2000,10/1/00,Badminton,1,0,0,1
Trikus Haryanto,26,2000,10/1/00,Badminton,0,1,0,1
Hendrawan,28,2000,10/1/00,Badminton,0,1,0,1
Minarti Timur,32,2000,10/1/00,Badminton,0,1,0,1
Candra Wijaya,25,2000,10/1/00,Badminton,1,0,0,1
