Komeil Ghasemi,24,2012,8/12/12,Wrestling,0,0,1,1
Sadegh Goudarzi,24,2012,8/12/12,Wrestling,0,1,0,1
Ehsan Naser Lashgari,26,2012,8/12/12,Wrestling,0,0,1,1
Omid Noroozi,26,2012,8/12/12,Wrestling,1,0,0,1
Ghasem Rezaei,26,2012,8/12/12,Wrestling,1,0,0,1
Hamid Soryan,26,2012,8/12/12,Wrestling,1,0,0,1
Seyed Mohammadi,28,2008,8/24/08,Wrestling,0,0,1,1
Ali Reza Heidari,28,2004,8/29/04,Wrestling,0,0,1,1
Masoud Moustafa Gokar,26,2004,8/29/04,Wrestling,0,1,0,1
Ali Reza Rezaei,28,2004,8/29/04,Wrestling,0,1,0,1
Ali Reza Dabir,23,2000,10/1/00,Wrestling,1,0,0,1
Sajjad Anoushiravani,28,2012,8/12/12,Weightlifting,0,1,0,1
Navab Nasirshelal,23,2012,8/12/12,Weightlifting,0,1,0,1
Kianoush Rostami,21,2012,8/12/12,Weightlifting,0,0,1,1
Behdad Salimi,22,2012,8/12/12,Weightlifting,1,0,0,1
Hossein Reza Zadeh,26,2004,8/29/04,Weightlifting,1,0,0,1
Hossein Reza Zadeh,22,2000,10/1/00,Weightlifting,1,0,0,1
Hossein Tavakoli,22,2000,10/1/00,Weightlifting,1,0,0,1
Mohammad Bagheri Motamed,26,2012,8/12/12,Taekwondo,0,1,0,1
Hadi Saei,32,2008,8/24/08,Taekwondo,1,0,0,1
Youssef Karami,21,2004,8/29/04,Taekwondo,0,0,1,1
Hadi Saei,28,2004,8/29/04,Taekwondo,1,0,0,1
Hadi Saei,24,2000,10/1/00,Taekwondo,0,0,1,1
Ehsan Haddadi,27,2012,8/12/12,Athletics,0,1,0,1
