Vivian Cheruiyot,28,2012,8/12/12,Athletics,0,1,1,2
Priscah Jeptoo,28,2012,8/12/12,Athletics,0,1,0,1
Ezekiel Kemboi,30,2012,8/12/12,Athletics,1,0,0,1
Wilson Kipsang Kiprotich,30,2012,8/12/12,Athletics,0,0,1,1
Sally Jepkosgei Kipyego,26,2012,8/12/12,Athletics,0,1,0,1
Abel Kirui,30,2012,8/12/12,Athletics,0,1,0,1
Timothy Kitum,17,2012,8/12/12,Athletics,0,0,1,1
Thomas Longosiwa,30,2012,8/12/12,Athletics,0,0,1,1
Abel Mutai,23,2012,8/12/12,Athletics,0,0,1,1
David Rudisha,23,2012,8/12/12,Athletics,1,0,0,1
Wilfred Bungei,28,2008,8/24/08,Athletics,1,0,0,1
Pamela Jelimo,18,2008,8/24/08,Athletics,1,0,0,1
Eunice Jepkorir,26,2008,8/24/08,Athletics,0,1,0,1
Janeth Jepkosgei,24,2008,8/24/08,Athletics,0,1,0,1
Eliud Kipchoge,23,2008,8/24/08,Athletics,0,1,0,1
Asbel Kiprop,19,2008,8/24/08,Athletics,1,0,0,1
Brimin Kipruto,23,2008,8/24/08,Athletics,1,0,0,1
Micah Kogo,22,2008,8/24/08,Athletics,0,0,1,1
Nancy Langat,26,2008,8/24/08,Athletics,1,0,0,1
Richard Mateelong,24,2008,8/24/08,Athletics,0,0,1,1
Catherine Ndereba,36,2008,8/24/08,Athletics,0,1,0,1
Edwin Soi,22,2008,8/24/08,Athletics,0,0,1,1
Sammy Wanjiru,21,2008,8/24/08,Athletics,1,0,0,1
Alfred Kirwa Yego,21,2008,8/24/08,Athletics,0,0,1,1
Ezekiel Kemboi,22,2004,8/29/04,Athletics,1,0,0,1
Eliud Kipchoge,19,2004,8/29/04,Athletics,0,0,1,1
Brimin Kipruto,19,2004,8/29/04,Athletics,0,1,0,1
Paul Kipsiele Koech,22,2004,8/29/04,Athletics,0,0,1,1
Bernard Lagat,29,2004,8/29/04,Athletics,0,1,0,1
Catherine Ndereba,32,2004,8/29/04,Athletics,0,1,0,1
Isabella Ochichi,24,2004,8/29/04,Athletics,0,1,0,1
Wilson Boit Kipketer,26,2000,10/1/00,Athletics,0,1,0,1
Joyce Chepchumba,29,2000,10/1/00,Athletics,0,0,1,1
Reuben Kosgei,21,2000,10/1/00,Athletics,1,0,0,1
Bernard Lagat,25,2000,10/1/00,Athletics,0,0,1,1
Noah Ngeny,21,2000,10/1/00,Athletics,1,0,0,1
Paul Tergat,31,2000,10/1/00,Athletics,0,1,0,1
Eric Wainaina,26,2000,10/1/00,Athletics,0,1,0,1
