Aleksandras Kazakevicius,26,2012,8/12/12,Wrestling,0,0,1,1
Mindaugas Mizgaitis,28,2008,8/24/08,Wrestling,0,0,1,1
Ruta Meilutyte,15,2012,8/12/12,Swimming,1,0,0,1
Daina Gudzineviciute,34,2000,10/1/00,Shooting,1,0,0,1
Gintare Volungeviciute-Scheidt,25,2008,8/24/08,Sailing,0,1,0,1
Kristina Poplavskaja,29,2000,10/1/00,Rowing,0,0,1,1
Birute Šakickiene,31,2000,10/1/00,Rowing,0,0,1,1
Laura Asadauskaite,28,2012,8/12/12,Modern Pentathlon,1,0,0,1
Edvinas Krungolcas,35,2008,8/24/08,Modern Pentathlon,0,1,0,1
Andrejus Zadneprovskis,33,2008,8/24/08,Modern Pentathlon,0,0,1,1
Andrejus Zadneprovskis,29,2004,8/29/04,Modern Pentathlon,0,1,0,1
Diana Žiliute,24,2000,10/1/00,Cycling,0,0,1,1
Jevgenijus Šuklinas,26,2012,8/12/12,Canoeing,0,1,0,1
Evaldas Petrauskas,20,2012,8/12/12,Boxing,0,0,1,1
Dainius Adomaitis,26,2000,10/1/00,Basketball,0,0,1,1
Gintaras Einikis,30,2000,10/1/00,Basketball,0,0,1,1
Andrius Giedraitis,27,2000,10/1/00,Basketball,0,0,1,1
Šarunas Jasikevicius,24,2000,10/1/00,Basketball,0,0,1,1
Kestutis Marciulionis,24,2000,10/1/00,Basketball,0,0,1,1
Tomas Masiulis,24,2000,10/1/00,Basketball,0,0,1,1
Darius Maskoliunas,29,2000,10/1/00,Basketball,0,0,1,1
Ramunas Šiškauskas,22,2000,10/1/00,Basketball,0,0,1,1
Darius Songaila,22,2000,10/1/00,Basketball,0,0,1,1
Saulius Štombergas,26,2000,10/1/00,Basketball,0,0,1,1
Mindaugas Timinskas,26,2000,10/1/00,Basketball,0,0,1,1
Eurelijus Žukauskas,27,2000,10/1/00,Basketball,0,0,1,1
Virgilijus Alekna,36,2008,8/24/08,Athletics,0,0,1,1
Virgilijus Alekna,32,2004,8/29/04,Athletics,1,0,0,1
Austra Skujyte,25,2004,8/29/04,Athletics,0,1,0,1
Virgilijus Alekna,28,2000,10/1/00,Athletics,1,0,0,1
