Soronzonboldyn Battsetseg,22,2012,8/12/12,Wrestling,0,0,1,1
Otryadyn Gündegmaa,30,2008,8/24/08,Shooting,0,1,0,1
Naidangiin Tüvshinbayar,28,2012,8/12/12,Judo,0,1,0,1
Saynjargalyn Nyam-Ochir,26,2012,8/12/12,Judo,0,0,1,1
Naidangiin Tüvshinbayar,24,2008,8/24/08,Judo,1,0,0,1
Khashbaataryn Tsagaanbaatar,20,2004,8/29/04,Judo,0,0,1,1
Nyambayaryn Tögstsogt,20,2012,8/12/12,Boxing,0,1,0,1
Uranchimegiin Mönkh-Erdene,30,2012,8/12/12,Boxing,0,0,1,1
Enkhbatyn Badar-Uugan,23,2008,8/24/08,Boxing,1,0,0,1
Pürevdorjin Serdamba,23,2008,8/24/08,Boxing,0,1,0,1
