Hayden Roulston,27,2008,8/24/08,Cycling,0,1,1,2
Bevan Docherty,31,2008,8/24/08,Triathlon,0,0,1,1
Hamish Carter,33,2004,8/29/04,Triathlon,1,0,0,1
Bevan Docherty,27,2004,8/29/04,Triathlon,0,1,0,1
Jo Aleh,26,2012,8/12/12,Sailing,1,0,0,1
Peter Burling,21,2012,8/12/12,Sailing,0,1,0,1
Olivia Powrie,24,2012,8/12/12,Sailing,1,0,0,1
Blair Tuke,23,2012,8/12/12,Sailing,0,1,0,1
Tom Ashley,24,2008,8/24/08,Sailing,1,0,0,1
Barbara Kendall,33,2000,10/1/00,Sailing,0,0,1,1
Aaron McIntosh,28,2000,10/1/00,Sailing,0,0,1,1
Hamish Bond,26,2012,8/12/12,Rowing,1,0,0,1
Nathan Cohen,26,2012,8/12/12,Rowing,1,0,0,1
Mahé Drysdale,33,2012,8/12/12,Rowing,1,0,0,1
Juliette Haigh,29,2012,8/12/12,Rowing,0,0,1,1
Eric Murray,30,2012,8/12/12,Rowing,1,0,0,1
Rebecca Scown,28,2012,8/12/12,Rowing,0,0,1,1
Joseph Sullivan,25,2012,8/12/12,Rowing,1,0,0,1
Peter Taylor,28,2012,8/12/12,Rowing,0,0,1,1
Storm Uru,27,2012,8/12/12,Rowing,0,0,1,1
George Bridgewater,25,2008,8/24/08,Rowing,0,0,1,1
Mahé Drysdale,29,2008,8/24/08,Rowing,0,0,1,1
Caroline Evers-Swindell,29,2008,8/24/08,Rowing,1,0,0,1
Georgina Evers-Swindell,29,2008,8/24/08,Rowing,1,0,0,1
Nathan Twaddle,31,2008,8/24/08,Rowing,0,0,1,1
Caroline Evers-Swindell,25,2004,8/29/04,Rowing,1,0,0,1
Georgina Evers-Swindell,25,2004,8/29/04,Rowing,1,0,0,1
Rob Waddell,25,2000,10/1/00,Rowing,1,0,0,1
Andrew Nicholson,50,2012,8/12/12,Equestrian,0,0,1,1
Jonathan Paget,28,2012,8/12/12,Equestrian,0,0,1,1
Caroline Powell,39,2012,8/12/12,Equestrian,0,0,1,1
Jonelle Richards,31,2012,8/12/12,Equestrian,0,0,1,1
Mark Todd,56,2012,8/12/12,Equestrian,0,0,1,1
Mark Todd,44,2000,10/1/00,Equestrian,0,0,1,1
Sam Bewley,25,2012,8/12/12,Cycling,0,0,1,1
Aaron Gate,21,2012,8/12/12,Cycling,0,0,1,1
Westley Gough,24,2012,8/12/12,Cycling,0,0,1,1
Marc Ryan,29,2012,8/12/12,Cycling,0,0,1,1
Jesse Sergent,24,2012,8/12/12,Cycling,0,0,1,1
Simon van Velthooven,23,2012,8/12/12,Cycling,0,0,1,1
Sarah Walker,24,2012,8/12/12,Cycling,0,1,0,1
Sam Bewley,21,2008,8/24/08,Cycling,0,0,1,1
Westley Gough,20,2008,8/24/08,Cycling,0,0,1,1
Marc Ryan,25,2008,8/24/08,Cycling,0,0,1,1
Jesse Sergent,20,2008,8/24/08,Cycling,0,0,1,1
Sarah Ulmer,28,2004,8/29/04,Cycling,1,0,0,1
Lisa Carrington,23,2012,8/12/12,Canoeing,1,0,0,1
Ben Fouhy,25,2004,8/29/04,Canoeing,0,1,0,1
Valerie Adams-Vili,27,2012,8/12/12,Athletics,1,0,0,1
Valerie Adams-Vili,23,2008,8/24/08,Athletics,1,0,0,1
Nick Willis,25,2008,8/24/08,Athletics,0,1,0,1
