Marit Bjørgen,29,2010,2/28/10,Cross Country Skiing,3,1,1,5
Petter Northug Jr.,24,2010,2/28/10,Cross Country Skiing,2,1,1,4
Ole Einar Bjørndalen,28,2002,2/24/02,Biathlon,4,0,0,4
Lars Bystøl,27,2006,2/26/06,Ski Jumping,1,0,2,3
Frode Estil,29,2002,2/24/02,Cross Country Skiing,2,1,0,3
Bente Skari-Martinsen,29,2002,2/24/02,Cross Country Skiing,1,1,1,3
Emil Hegle Svendsen,24,2010,2/28/10,Biathlon,2,1,0,3
Ole Einar Bjørndalen,32,2006,2/26/06,Biathlon,0,2,1,3
Aksel Lund Svindal,27,2010,2/28/10,Alpine Skiing,1,1,1,3
Roar Ljøkelsøy,29,2006,2/26/06,Ski Jumping,0,0,2,2
Magnus Moan,22,2006,2/26/06,Nordic Combined,0,1,1,2
Thomas Alsgaard,30,2002,2/24/02,Cross Country Skiing,2,0,0,2
Anita Moen-Guidon,34,2002,2/24/02,Cross Country Skiing,0,1,1,2
Kristen Skjeldal,34,2002,2/24/02,Cross Country Skiing,1,0,1,2
Eirik Verås Larsen,28,2004,8/29/04,Canoeing,1,0,1,2
Knut Holmann,32,2000,10/1/00,Canoeing,2,0,0,2
Ole Einar Bjørndalen,36,2010,2/28/10,Biathlon,1,1,0,2
Halvard Hanevold,36,2006,2/26/06,Biathlon,0,1,1,2
Liv Grete Skjelbreid-Poirée,27,2002,2/24/02,Biathlon,0,2,0,2
Kjetil André Aamodt,30,2002,2/24/02,Alpine Skiing,2,0,0,2
Lasse Kjus,31,2002,2/24/02,Alpine Skiing,0,1,1,2
Nina Solheim,29,2008,8/24/08,Taekwondo,0,1,0,1
Trude Gundersen,23,2000,10/1/00,Taekwondo,0,1,0,1
Sara Nordenstam,25,2008,8/24/08,Swimming,0,0,1,1
Alexander Dale Oen,23,2008,8/24/08,Swimming,0,1,0,1
Håvard Bøkko,23,2010,2/28/10,Speed Skating,0,0,1,1
Lasse Sætre,27,2002,2/24/02,Speed Skating,0,0,1,1
Ådne Søndrål,30,2002,2/24/02,Speed Skating,0,0,1,1
Kjersti Buaas,24,2006,2/26/06,Snowboarding,0,0,1,1
Anders Bardal,27,2010,2/28/10,Ski Jumping,0,0,1,1
Johan Remen Evensen,24,2010,2/28/10,Ski Jumping,0,0,1,1
