Marian Dragulescu,23,2004,8/29/04,Gymnastics,0,1,2,3
Catalina Ponor,16,2004,8/29/04,Gymnastics,3,0,0,3
Simona Amânar,20,2000,10/1/00,Gymnastics,2,0,1,3
Beatrice Coada-Caslaru,25,2000,10/1/00,Swimming,0,1,1,2
Diana Mocanu,16,2000,10/1/00,Swimming,2,0,0,2
Georgeta Damian-Andrunache,32,2008,8/24/08,Rowing,1,0,1,2
Viorica Susanu,32,2008,8/24/08,Rowing,1,0,1,2
Georgeta Damian-Andrunache,28,2004,8/29/04,Rowing,2,0,0,2
Viorica Susanu,28,2004,8/29/04,Rowing,2,0,0,2
Georgeta Damian-Andrunache,24,2000,10/1/00,Rowing,2,0,0,2
Doina Ignat,31,2000,10/1/00,Rowing,2,0,0,2
Sandra Izbasa,22,2012,8/12/12,Gymnastics,1,0,1,2
Catalina Ponor,24,2012,8/12/12,Gymnastics,0,1,1,2
Sandra Izbasa,18,2008,8/24/08,Gymnastics,1,0,1,2
Alexandra Eremia,17,2004,8/29/04,Gymnastics,1,0,1,2
Monica Rosu,17,2004,8/29/04,Gymnastics,2,0,0,2
Dana Sofronie,16,2004,8/29/04,Gymnastics,1,1,0,2
Marius Urzica,28,2004,8/29/04,Gymnastics,0,1,1,2
Maria Olaru,18,2000,10/1/00,Gymnastics,1,1,0,2
Andreea Raducan,16,2000,10/1/00,Gymnastics,1,1,0,2
Florin Popescu,26,2000,10/1/00,Canoeing,1,0,1,2
Mitica Pricop,22,2000,10/1/00,Canoeing,1,0,1,2
Gabriela Szabo,24,2000,10/1/00,Athletics,1,0,1,2
Roxana Cocos,23,2012,8/12/12,Weightlifting,0,1,0,1
Razvan Martin,20,2012,8/12/12,Weightlifting,0,0,1,1
Razvan Florea,23,2004,8/29/04,Swimming,0,0,1,1
Camelia Potec,22,2004,8/29/04,Swimming,1,0,0,1
Alin Moldoveanu,29,2012,8/12/12,Shooting,1,0,0,1
Iulian Raicea,27,2000,10/1/00,Shooting,0,0,1,1
Eniko Barabas-Mironcic,22,2008,8/24/08,Rowing,0,0,1,1
Rodica Florea-Serban,25,2008,8/24/08,Rowing,0,0,1,1
Elena Georgescu,44,2008,8/24/08,Rowing,0,0,1,1
Doina Ignat,39,2008,8/24/08,Rowing,0,0,1,1
Ioana Papuc-Rotaru,24,2008,8/24/08,Rowing,0,0,1,1
Constanta Pipota-Burcica,37,2008,8/24/08,Rowing,0,0,1,1
Simona Strimbeschi-Musat,26,2008,8/24/08,Rowing,0,0,1,1
Aurica Chirita-Barascu,29,2004,8/29/04,Rowing,1,0,0,1
Rodica Florea-Serban,21,2004,8/29/04,Rowing,1,0,0,1
Liliana Gafencu,29,2004,8/29/04,Rowing,1,0,0,1
Elena Georgescu,40,2004,8/29/04,Rowing,1,0,0,1
Doina Ignat,35,2004,8/29/04,Rowing,1,0,0,1
Elisabeta Oleniuc-Lipa,39,2004,8/29/04,Rowing,1,0,0,1
Ioana Papuc-Rotaru,20,2004,8/29/04,Rowing,1,0,0,1
Constanta Pipota-Burcica,33,2004,8/29/04,Rowing,1,0,0,1
Angela Tamas-Alupei,32,2004,8/29/04,Rowing,1,0,0,1
Veronica Cogeanu-Cochelea,34,2000,10/1/00,Rowing,1,0,0,1
Maria Dumitrache,23,2000,10/1/00,Rowing,1,0,0,1
Liliana Gafencu,25,2000,10/1/00,Rowing,1,0,0,1
Elena Georgescu,36,2000,10/1/00,Rowing,1,0,0,1
Elisabeta Oleniuc-Lipa,35,2000,10/1/00,Rowing,1,0,0,1
Ioana Olteanu,34,2000,10/1/00,Rowing,1,0,0,1
Constanta Pipota-Burcica,29,2000,10/1/00,Rowing,1,0,0,1
Viorica Susanu,24,2000,10/1/00,Rowing,1,0,0,1
Angela Tamas-Alupei,28,2000,10/1/00,Rowing,1,0,0,1
Corina Caprioriu,26,2012,8/12/12,Judo,0,1,0,1
Alina Dumitru,29,2012,8/12/12,Judo,0,1,0,1
Alina Dumitru,25,2008,8/24/08,Judo,1,0,0,1
Simona Richter,28,2000,10/1/00,Judo,0,0,1,1
Diana Bulimar,16,2012,8/12/12,Gymnastics,0,0,1,1
Diana Maria Chelaru,18,2012,8/12/12,Gymnastics,0,0,1,1
Larisa Iordache,16,2012,8/12/12,Gymnastics,0,0,1,1
Andreea Acatrinei,16,2008,8/24/08,Gymnastics,0,0,1,1
Gabriela Dragoi,15,2008,8/24/08,Gymnastics,0,0,1,1
Andreea Grigore,17,2008,8/24/08,Gymnastics,0,0,1,1
Steliana Nistor,18,2008,8/24/08,Gymnastics,0,0,1,1
Ana Tamârjan,17,2008,8/24/08,Gymnastics,0,0,1,1
Oana Ban,18,2004,8/29/04,Gymnastics,1,0,0,1
