Aleksey Nemov,24,2000,10/1/00,Gymnastics,2,1,3,6
Aliya Mustafina,17,2012,8/12/12,Gymnastics,1,1,2,4
Dmitry Sautin,26,2000,10/1/00,Diving,1,1,2,4
Svetlana Khorkina,21,2000,10/1/00,Gymnastics,1,2,0,3
Yekaterina Lobaznyuk,17,2000,10/1/00,Gymnastics,0,2,1,3
Yelena Zamolodchikova,17,2000,10/1/00,Gymnastics,2,1,0,3
Yuliya Chepalova,25,2002,2/24/02,Cross Country Skiing,1,1,1,3
Albina Akhatova,29,2006,2/26/06,Biathlon,1,0,2,3
Nataliya Ishchenko,26,2012,8/12/12,Synchronized Swimming,2,0,0,2
Svetlana Romashina,22,2012,8/12/12,Synchronized Swimming,2,0,0,2
Anastasiya Davydova,25,2008,8/24/08,Synchronized Swimming,2,0,0,2
Anastasiya Yermakova,25,2008,8/24/08,Synchronized Swimming,2,0,0,2
Anastasiya Davydova,21,2004,8/29/04,Synchronized Swimming,2,0,0,2
Anastasiya Yermakova,21,2004,8/29/04,Synchronized Swimming,2,0,0,2
Olga Brusnikina,21,2000,10/1/00,Synchronized Swimming,2,0,0,2
Mariya Kiselyova,25,2000,10/1/00,Synchronized Swimming,2,0,0,2
Arkady Vyachanin,24,2008,8/24/08,Swimming,0,0,2,2
Ivan Skobrev,27,2010,2/28/10,Speed Skating,0,1,1,2
Lyubov Galkina,31,2004,8/29/04,Shooting,1,1,0,2
Mikhail Nestruyev,35,2004,8/29/04,Shooting,1,1,0,2
Denis Ablyazin,19,2012,8/12/12,Gymnastics,0,1,1,2
Viktoriya Komova,17,2012,8/12/12,Gymnastics,0,2,0,2
Mariya Paseka,17,2012,8/12/12,Gymnastics,0,1,1,2
Anton Golotsutskov,23,2008,8/24/08,Gymnastics,0,0,2,2
Svetlana Khorkina,25,2004,8/29/04,Gymnastics,0,1,1,2
Anna Pavlova,16,2004,8/29/04,Gymnastics,0,0,2,2
Aleksey Bondarenko,22,2000,10/1/00,Gymnastics,0,1,1,2
Yelena Produnova,20,2000,10/1/00,Gymnastics,0,1,1,2
Ilya Zakharov,21,2012,8/12/12,Diving,1,1,0,2
Gleb Galperin,25,2008,8/24/08,Diving,0,0,2,2
Yuliya Pakhalina,30,2008,8/24/08,Diving,0,2,0,2
Yuliya Pakhalina,26,2004,8/29/04,Diving,0,1,1,2
Olga Zabelinskaya,32,2012,8/12/12,Cycling,0,0,2,2
Olga Slyusareva,35,2004,8/29/04,Cycling,1,0,1,2
Yuliya Chepalova,29,2006,2/26/06,Cross Country Skiing,1,1,0,2
Yevgeny Dementyev,23,2006,2/26/06,Cross Country Skiing,1,1,0,2
Yevgeniya Medvedeva,29,2006,2/26/06,Cross Country Skiing,1,0,1,2
Aleksandr Kostoglod,30,2004,8/29/04,Canoeing,0,1,1,2
Aleksandr Kovalyov,29,2004,8/29/04,Canoeing,0,1,1,2
Yevgeny Ustyugov,24,2010,2/28/10,Biathlon,1,0,1,2
Olga Zaytseva,31,2010,2/28/10,Biathlon,1,1,0,2
Svetlana Ishmuratova,33,2006,2/26/06,Biathlon,2,0,0,2
Olga Pylyova-Medvedtseva,26,2002,2/24/02,Biathlon,1,0,1,2
Nataliya Antyukh,31,2012,8/12/12,Athletics,1,1,0,2
Yuliya Gushchina,25,2008,8/24/08,Athletics,1,1,0,2
Tatyana Lebedeva,32,2008,8/24/08,Athletics,0,2,0,2
Nataliya Antyukh,23,2004,8/29/04,Athletics,0,1,1,2
Tatyana Lebedeva,28,2004,8/29/04,Athletics,1,0,1,2
Irina Privalova,31,2000,10/1/00,Athletics,1,0,1,2
Alan Khugayev,23,2012,8/12/12,Wrestling,1,0,0,1
Besik Kudukhov,25,2012,8/12/12,Wrestling,0,1,0,1
Zaur Kuramagomedov,24,2012,8/12/12,Wrestling,0,0,1,1
Bilyal Makhov,24,2012,8/12/12,Wrestling,0,0,1,1
Dzhamal Otarsultanov,25,2012,8/12/12,Wrestling,1,0,0,1
Mingiyan Semyonov,22,2012,8/12/12,Wrestling,0,0,1,1
Rustam Totrov,28,2012,8/12/12,Wrestling,0,1,0,1
Denis Tsargush,24,2012,8/12/12,Wrestling,0,0,1,1
Roman Vlasov,21,2012,8/12/12,Wrestling,1,0,0,1
Lyubov Volosova,29,2012,8/12/12,Wrestling,0,0,1,1
