Martina Moravcová,24,2000,10/1/00,Swimming,0,2,0,2
Anastasia Kuzmina,25,2010,2/28/10,Biathlon,1,1,0,2
David Musulbes,36,2008,8/24/08,Wrestling,0,0,1,1
Radoslav Židek,24,2006,2/26/06,Snowboarding,0,1,0,1
Danka Barteková,27,2012,8/12/12,Shooting,0,0,1,1
Zuzana Štefeceková,28,2012,8/12/12,Shooting,0,1,0,1
Zuzana Štefeceková,24,2008,8/24/08,Shooting,0,1,0,1
Jozef Gönci,30,2004,8/29/04,Shooting,0,0,1,1
Jozef Krnác,26,2004,8/29/04,Judo,0,1,0,1
Pavol Hochschorner,32,2012,8/12/12,Canoeing,0,0,1,1
Peter Hochschorner,32,2012,8/12/12,Canoeing,0,0,1,1
Michal Martikán,33,2012,8/12/12,Canoeing,0,0,1,1
Pavol Hochschorner,28,2008,8/24/08,Canoeing,1,0,0,1
Peter Hochschorner,28,2008,8/24/08,Canoeing,1,0,0,1
Elena Kaliská,36,2008,8/24/08,Canoeing,1,0,0,1
Michal Martikán,29,2008,8/24/08,Canoeing,1,0,0,1
Michal Riszdorfer,31,2008,8/24/08,Canoeing,0,1,0,1
Richard Riszdorfer,27,2008,8/24/08,Canoeing,0,1,0,1
Juraj Tarr,29,2008,8/24/08,Canoeing,0,1,0,1
Erik Vlcek,26,2008,8/24/08,Canoeing,0,1,0,1
Juraj Baca,27,2004,8/29/04,Canoeing,0,0,1,1
Pavol Hochschorner,24,2004,8/29/04,Canoeing,1,0,0,1
Peter Hochschorner,24,2004,8/29/04,Canoeing,1,0,0,1
Elena Kaliská,32,2004,8/29/04,Canoeing,1,0,0,1
Michal Martikán,25,2004,8/29/04,Canoeing,0,1,0,1
Michal Riszdorfer,27,2004,8/29/04,Canoeing,0,0,1,1
Richard Riszdorfer,23,2004,8/29/04,Canoeing,0,0,1,1
Erik Vlcek,22,2004,8/29/04,Canoeing,0,0,1,1
Pavol Hochschorner,21,2000,10/1/00,Canoeing,1,0,0,1
Peter Hochschorner,21,2000,10/1/00,Canoeing,1,0,0,1
Michal Martikán,21,2000,10/1/00,Canoeing,0,1,0,1
Juraj Mincík,23,2000,10/1/00,Canoeing,0,0,1,1
Pavol Hurajt,32,2010,2/28/10,Biathlon,0,0,1,1
