An Hyeon-Su,20,2006,2/26/06,Short-Track Speed Skating,3,0,1,4
Lee Jeong-Su,20,2010,2/28/10,Short-Track Speed Skating,2,1,0,3
Jin Seon-Yu,17,2006,2/26/06,Short-Track Speed Skating,3,0,0,3
Lee Ho-Seok,19,2006,2/26/06,Short-Track Speed Skating,1,2,0,3
Park Tae-Hwan,22,2012,8/12/12,Swimming,0,2,0,2
Park Tae-Hwan,18,2008,8/24/08,Swimming,1,1,0,2
Lee Ho-Seok,23,2010,2/28/10,Short-Track Speed Skating,0,2,0,2
Park Seung-Hui,17,2010,2/28/10,Short-Track Speed Skating,0,0,2,2
Seong Si-Baek,22,2010,2/28/10,Short-Track Speed Skating,0,2,0,2
Choi Eun-Gyeong,21,2006,2/26/06,Short-Track Speed Skating,1,1,0,2
Choi Eun-Gyeong,17,2002,2/24/02,Short-Track Speed Skating,1,1,0,2
Go Gi-Hyeon,15,2002,2/24/02,Short-Track Speed Skating,1,1,0,2
Lee Seung-Hun,21,2010,2/28/10,Speed Skating,1,1,0,2
Mo Tae-Beom,21,2010,2/28/10,Speed Skating,1,1,0,2
Jin Jong-O,32,2012,8/12/12,Shooting,2,0,0,2
Jin Jong-O,28,2008,8/24/08,Shooting,1,1,0,2
Lee Bo-Na,23,2004,8/29/04,Shooting,0,1,1,2
Lee Ju-Hyeong,27,2000,10/1/00,Gymnastics,0,1,1,2
Lee Hyo-Jeong,27,2008,8/24/08,Badminton,1,1,0,2
Ki Bo-Bae,24,2012,8/12/12,Archery,2,0,0,2
Oh Jin-Hyek,30,2012,8/12/12,Archery,1,0,1,2
Park Gyeong-Mo,32,2008,8/24/08,Archery,1,1,0,2
Park Seong-Hyeon,25,2008,8/24/08,Archery,1,1,0,2
Yun Ok-Hui,23,2008,8/24/08,Archery,1,0,1,2
Lee Seong-Jin,19,2004,8/29/04,Archery,1,1,0,2
Park Seong-Hyeon,21,2004,8/29/04,Archery,2,0,0,2
Kim Nam-Sun,20,2000,10/1/00,Archery,1,1,0,2
Kim Su-Nyeong,29,2000,10/1/00,Archery,1,0,1,2
Yun Mi-Jin,17,2000,10/1/00,Archery,2,0,0,2
Kim Hyeon-Wu,23,2012,8/12/12,Wrestling,1,0,0,1
Park Eun-Chul,27,2008,8/24/08,Wrestling,0,0,1,1
Jeong Ji-Hyeon,21,2004,8/29/04,Wrestling,1,0,0,1
Mun Ui-Je,29,2004,8/29/04,Wrestling,0,1,0,1
Jang Jae-Seong,25,2000,10/1/00,Wrestling,0,0,1,1
Kim In-Seop,27,2000,10/1/00,Wrestling,0,1,0,1
Mun Ui-Je,25,2000,10/1/00,Wrestling,0,1,0,1
Sim Gwon-Ho,27,2000,10/1/00,Wrestling,1,0,0,1
Jang Mi-Ran,24,2008,8/24/08,Weightlifting,1,0,0,1
Sa Jae-Hyeok,23,2008,8/24/08,Weightlifting,1,0,0,1
Yoon Jin-Hee,22,2008,8/24/08,Weightlifting,0,1,0,1
Jang Mi-Ran,20,2004,8/29/04,Weightlifting,0,1,0,1
Lee Bae-Yeong,24,2004,8/29/04,Weightlifting,0,1,0,1
Ju Se-Hyeok,32,2012,8/12/12,Table Tennis,0,1,0,1
O Sang-Eun,35,2012,8/12/12,Table Tennis,0,1,0,1
Yu Seung-Min,29,2012,8/12/12,Table Tennis,0,1,0,1
Dang Ye-Seo,27,2008,8/24/08,Table Tennis,0,0,1,1
Kim Gyeong-A,31,2008,8/24/08,Table Tennis,0,0,1,1
O Sang-Eun,31,2008,8/24/08,Table Tennis,0,0,1,1
Park Mi-Yeong,26,2008,8/24/08,Table Tennis,0,0,1,1
Yoon Jae-Young,25,2008,8/24/08,Table Tennis,0,0,1,1
Yu Seung-Min,26,2008,8/24/08,Table Tennis,0,0,1,1
Kim Gyeong-A,27,2004,8/29/04,Table Tennis,0,0,1,1
Lee Eun-Sil,27,2004,8/29/04,Table Tennis,0,1,0,1
Seog Eun-Mi,27,2004,8/29/04,Table Tennis,0,1,0,1
Yu Seung-Min,22,2004,8/29/04,Table Tennis,1,0,0,1
Kim Mu-Gyo,25,2000,10/1/00,Table Tennis,0,0,1,1
Yu Ji-Hye,24,2000,10/1/00,Table Tennis,0,0,1,1
Hwang Gyeong-Seon,26,2012,8/12/12,Taekwondo,1,0,0,1
Lee Dae-Hun,20,2012,8/12/12,Taekwondo,0,1,0,1
Hwang Gyeong-Seon,22,2008,8/24/08,Taekwondo,1,0,0,1
Im Su-Jeong,22,2008,8/24/08,Taekwondo,1,0,0,1
Ja Dong-Min,21,2008,8/24/08,Taekwondo,1,0,0,1
Son Tae-Jin,20,2008,8/24/08,Taekwondo,1,0,0,1
Hwang Gyeong-Seon,18,2004,8/29/04,Taekwondo,0,0,1,1
Jang Ji-Won,24,2004,8/29/04,Taekwondo,1,0,0,1
Mun Dae-Seong,27,2004,8/29/04,Taekwondo,1,0,0,1
Song Myeong-Seop,20,2004,8/29/04,Taekwondo,0,0,1,1
Jung Jae-Eun,20,2000,10/1/00,Taekwondo,1,0,0,1
Kim Gyeong-Hun,25,2000,10/1/00,Taekwondo,1,0,0,1
Lee Seon-Hui,21,2000,10/1/00,Taekwondo,1,0,0,1
Sin Jun-Sik,20,2000,10/1/00,Taekwondo,0,1,0,1
Gwak Yun-Gi,20,2010,2/28/10,Short-Track Speed Skating,0,1,0,1
Kim Seong-Il,19,2010,2/28/10,Short-Track Speed Skating,0,1,0,1
