Simon Ammann,28,2010,2/28/10,Ski Jumping,2,0,0,2
Simon Ammann,20,2002,2/24/02,Ski Jumping,2,0,0,2
Gianna Hablützel-Bürki,30,2000,10/1/00,Fencing,0,2,0,2
Fabian Cancellara,27,2008,8/24/08,Cycling,1,1,0,2
Martin Annen,32,2006,2/26/06,Bobsleigh,0,0,2,2
Beat Hefti,28,2006,2/26/06,Bobsleigh,0,0,2,2
Nicola Spirig,30,2012,8/12/12,Triathlon,1,0,0,1
Sven Riederer,23,2004,8/29/04,Triathlon,0,0,1,1
Brigitte McMahon,33,2000,10/1/00,Triathlon,1,0,0,1
Magali Messmer,29,2000,10/1/00,Triathlon,0,0,1,1
Roger Federer,30,2012,8/12/12,Tennis,0,1,0,1
Roger Federer,27,2008,8/24/08,Tennis,1,0,0,1
Stanislas Wawrinka,23,2008,8/24/08,Tennis,1,0,0,1
Olivia Nobs,27,2010,2/28/10,Snowboarding,0,0,1,1
Tanja Frieden,30,2006,2/26/06,Snowboarding,1,0,0,1
Daniela Meuli,24,2006,2/26/06,Snowboarding,1,0,0,1
Philipp Schoch,26,2006,2/26/06,Snowboarding,1,0,0,1
Simon Schoch,27,2006,2/26/06,Snowboarding,0,1,0,1
Fabienne Reuteler,22,2002,2/24/02,Snowboarding,0,0,1,1
Philipp Schoch,22,2002,2/24/02,Snowboarding,1,0,0,1
Maya Pedersen,33,2006,2/26/06,Skeleton,1,0,0,1
Gregor Stähli,37,2006,2/26/06,Skeleton,0,0,1,1
Gregor Stähli,33,2002,2/24/02,Skeleton,0,0,1,1
Michel Ansermet,35,2000,10/1/00,Shooting,0,1,0,1
Xeno Müller,28,2000,10/1/00,Rowing,0,1,0,1
Sergei Aschwanden,32,2008,8/24/08,Judo,0,0,1,1
Stéphane Lambiel,20,2006,2/26/06,Figure Skating,0,1,0,1
Mike Schmid,25,2010,2/28/10,Freestyle Skiing,1,0,0,1
Evelyne Leu,29,2006,2/26/06,Freestyle Skiing,1,0,0,1
Marcel Fischer,26,2004,8/29/04,Fencing,1,0,0,1
Sophie Lamon,15,2000,10/1/00,Fencing,0,1,0,1
Diana Romagnoli,23,2000,10/1/00,Fencing,0,1,0,1
Steve Guerdat,30,2012,8/12/12,Equestrian,1,0,0,1
Steve Guerdat,26,2008,8/24/08,Equestrian,0,0,1,1
Christina Liebherr,29,2008,8/24/08,Equestrian,0,0,1,1
Niklaus Schurtenberger,40,2008,8/24/08,Equestrian,0,0,1,1
Pius Schwizer,46,2008,8/24/08,Equestrian,0,0,1,1
Markus Fuchs,45,2000,10/1/00,Equestrian,0,1,0,1
Beat Mändli,30,2000,10/1/00,Equestrian,0,1,0,1
Lesley McNaught-Mändli,36,2000,10/1/00,Equestrian,0,1,0,1
Willi Melliger,47,2000,10/1/00,Equestrian,0,1,0,1
