Elvan Abeylegesse,25,2008,8/24/08,Athletics,0,2,0,2
Riza Kayaalp,22,2012,8/12/12,Wrestling,0,0,1,1
Nazmi Avluca,31,2008,8/24/08,Wrestling,0,0,1,1
Ramazan Sahin,25,2008,8/24/08,Wrestling,1,0,0,1
Seref Eroglu,28,2004,8/29/04,Wrestling,0,1,0,1
Mehmet Özal,30,2004,8/29/04,Wrestling,0,0,1,1
Aydin Polatçi,27,2004,8/29/04,Wrestling,0,0,1,1
Adem Bereket,27,2000,10/1/00,Wrestling,0,0,1,1
Hamza Yerlikaya,24,2000,10/1/00,Wrestling,1,0,0,1
Sibel Özkan,20,2008,8/24/08,Weightlifting,0,1,0,1
Sedat Artuç,28,2004,8/29/04,Weightlifting,0,0,1,1
Halil Mutlu,31,2004,8/29/04,Weightlifting,1,0,0,1
Taner Sagir,19,2004,8/29/04,Weightlifting,1,0,0,1
Nurcan Taylan,20,2004,8/29/04,Weightlifting,1,0,0,1
Halil Mutlu,27,2000,10/1/00,Weightlifting,1,0,0,1
Nur Tatar,19,2012,8/12/12,Taekwondo,0,1,0,1
Servet Tazegül,23,2012,8/12/12,Taekwondo,1,0,0,1
Azize Tanrikulu,22,2008,8/24/08,Taekwondo,0,1,0,1
Servet Tazegül,19,2008,8/24/08,Taekwondo,0,0,1,1
Bahri Tanrikulu,24,2004,8/29/04,Taekwondo,0,1,0,1
Hamide Bikçin,22,2000,10/1/00,Taekwondo,0,0,1,1
Hüseyin Özkan,28,2000,10/1/00,Judo,1,0,0,1
Yakup Kiliç,22,2008,8/24/08,Boxing,0,0,1,1
Atagün Yalçinkaya,17,2004,8/29/04,Boxing,0,1,0,1
Gamze Bulut,20,2012,8/12/12,Athletics,0,1,0,1
Asli Çakir,26,2012,8/12/12,Athletics,1,0,0,1
Esref Apak,22,2004,8/29/04,Athletics,0,0,1,1
