Michael Phelps,23,2008,8/24/08,Swimming,8,0,0,8
Michael Phelps,19,2004,8/29/04,Swimming,6,0,2,8
Michael Phelps,27,2012,8/12/12,Swimming,4,2,0,6
Natalie Coughlin,25,2008,8/24/08,Swimming,1,2,3,6
Missy Franklin,17,2012,8/12/12,Swimming,4,0,1,5
Ryan Lochte,27,2012,8/12/12,Swimming,2,2,1,5
Allison Schmitt,22,2012,8/12/12,Swimming,3,1,1,5
Natalie Coughlin,21,2004,8/29/04,Swimming,2,2,1,5
Dara Torres,33,2000,10/1/00,Swimming,2,0,3,5
Nastia Liukin,18,2008,8/24/08,Gymnastics,1,3,1,5
Ryan Lochte,24,2008,8/24/08,Swimming,2,0,2,4
Gary Hall Jr.,25,2000,10/1/00,Swimming,2,1,1,4
Jenny Thompson,27,2000,10/1/00,Swimming,3,0,1,4
Shawn Johnson,16,2008,8/24/08,Gymnastics,1,3,0,4
Nathan Adrian,23,2012,8/12/12,Swimming,2,1,0,3
Matt Grevers,27,2012,8/12/12,Swimming,2,1,0,3
Cullen Jones,28,2012,8/12/12,Swimming,1,2,0,3
Rebecca Soni,25,2012,8/12/12,Swimming,2,1,0,3
Dana Vollmer,24,2012,8/12/12,Swimming,3,0,0,3
Matt Grevers,23,2008,8/24/08,Swimming,2,1,0,3
Margaret Hoelzer,25,2008,8/24/08,Swimming,0,2,1,3
Katie Hoff,19,2008,8/24/08,Swimming,0,1,2,3
Jason Lezak,32,2008,8/24/08,Swimming,2,0,1,3
Aaron Peirsol,25,2008,8/24/08,Swimming,2,1,0,3
Rebecca Soni,21,2008,8/24/08,Swimming,1,2,0,3
Dara Torres,41,2008,8/24/08,Swimming,0,3,0,3
Amanda Beard,22,2004,8/29/04,Swimming,1,2,0,3
Ian Crocker,21,2004,8/29/04,Swimming,1,1,1,3
Brendan Hansen,22,2004,8/29/04,Swimming,1,1,1,3
Aaron Peirsol,21,2004,8/29/04,Swimming,3,0,0,3
Kaitlin Sandeno,21,2004,8/29/04,Swimming,1,1,1,3
Lenny Krayzelburg,24,2000,10/1/00,Swimming,3,0,0,3
Apolo Anton Ohno,27,2010,2/28/10,Short-Track Speed Skating,0,1,2,3
Apolo Anton Ohno,23,2006,2/26/06,Short-Track Speed Skating,1,0,2,3
Chad Hedrick,28,2006,2/26/06,Speed Skating,1,1,1,3
Johnny Spillane,29,2010,2/28/10,Nordic Combined,0,3,0,3
Aly Raisman,18,2012,8/12/12,Gymnastics,2,0,1,3
Paul Hamm,21,2004,8/29/04,Gymnastics,1,2,0,3
Carly Patterson,16,2004,8/29/04,Gymnastics,1,2,0,3
Allyson Felix,26,2012,8/12/12,Athletics,3,0,0,3
Carmelita Jeter,32,2012,8/12/12,Athletics,1,1,1,3
Justin Gatlin,22,2004,8/29/04,Athletics,1,1,1,3
Bode Miller,32,2010,2/28/10,Alpine Skiing,1,1,1,3
Mike Bryan,34,2012,8/12/12,Tennis,1,0,1,2
Serena Williams,30,2012,8/12/12,Tennis,2,0,0,2
Venus Williams,20,2000,10/1/00,Tennis,2,0,0,2
Alison Bartosik,21,2004,8/29/04,Synchronized Swimming,0,0,2,2
Anna Kozlova,31,2004,8/29/04,Synchronized Swimming,0,0,2,2
Elizabeth Beisel,19,2012,8/12/12,Swimming,0,1,1,2
Ricky Berens,24,2012,8/12/12,Swimming,1,1,0,2
Brendan Hansen,30,2012,8/12/12,Swimming,1,0,1,2
Jessica Hardy,25,2012,8/12/12,Swimming,1,0,1,2
Nick Thoman,26,2012,8/12/12,Swimming,1,1,0,2
Kara Lynn Joyce,22,2008,8/24/08,Swimming,0,2,0,2
Christine Magnuson,22,2008,8/24/08,Swimming,0,2,0,2
Julia Smit,20,2008,8/24/08,Swimming,0,1,1,2
Peter Vanderkaay,24,2008,8/24/08,Swimming,1,0,1,2
Garrett Weber-Gale,23,2008,8/24/08,Swimming,2,0,0,2
Lindsay Benko,27,2004,8/29/04,Swimming,1,1,0,2
Gary Hall Jr.,29,2004,8/29/04,Swimming,1,0,1,2
Kara Lynn Joyce,18,2004,8/29/04,Swimming,0,2,0,2
Klete Keller,22,2004,8/29/04,Swimming,1,0,1,2
Rachel Komisarz,27,2004,8/29/04,Swimming,1,1,0,2
Jason Lezak,28,2004,8/29/04,Swimming,1,0,1,2
Ryan Lochte,20,2004,8/29/04,Swimming,1,1,0,2
Jenny Thompson,31,2004,8/29/04,Swimming,0,2,0,2
Neil Walker,28,2004,8/29/04,Swimming,1,0,1,2
Amanda Weir,18,2004,8/29/04,Swimming,0,2,0,2
Brooke Bennett,20,2000,10/1/00,Swimming,2,0,0,2
Josh Davis,28,2000,10/1/00,Swimming,0,2,0,2
Tom Dolan,25,2000,10/1/00,Swimming,1,1,0,2
Anthony Ervin,19,2000,10/1/00,Swimming,1,1,0,2
Klete Keller,18,2000,10/1/00,Swimming,0,1,1,2
Jason Lezak,24,2000,10/1/00,Swimming,1,1,0,2
Ed Moses,20,2000,10/1/00,Swimming,1,1,0,2
Diana Munz,18,2000,10/1/00,Swimming,1,1,0,2
Megan Quann-Jendrick,16,2000,10/1/00,Swimming,2,0,0,2
Courtney Shealy,22,2000,10/1/00,Swimming,2,0,0,2
Ashley Tappin,25,2000,10/1/00,Swimming,2,0,0,2
Amy Van Dyken,27,2000,10/1/00,Swimming,2,0,0,2
Neil Walker,24,2000,10/1/00,Swimming,1,1,0,2
J. R. Celski,19,2010,2/28/10,Short-Track Speed Skating,0,0,2,2
Katherine Reutter,21,2010,2/28/10,Short-Track Speed Skating,0,1,1,2
Apolo Anton Ohno,19,2002,2/24/02,Short-Track Speed Skating,1,1,0,2
Shani Davis,27,2010,2/28/10,Speed Skating,1,1,0,2
Chad Hedrick,32,2010,2/28/10,Speed Skating,0,1,1,2
Joey Cheek,26,2006,2/26/06,Speed Skating,1,1,0,2
Shani Davis,23,2006,2/26/06,Speed Skating,1,1,0,2
Derek Parra,31,2002,2/24/02,Speed Skating,1,1,0,2
Jennifer Rodriguez,25,2002,2/24/02,Speed Skating,0,0,2,2
Bill Demong,29,2010,2/28/10,Nordic Combined,1,1,0,2
Gabby Douglas,16,2012,8/12/12,Gymnastics,2,0,0,2
McKayla Maroney,16,2012,8/12/12,Gymnastics,1,1,0,2
Jonathan Horton,22,2008,8/24/08,Gymnastics,0,1,1,2
Annia Hatch,26,2004,8/29/04,Gymnastics,0,2,0,2
Terin Humphrey,18,2004,8/29/04,Gymnastics,0,2,0,2
Courtney Kupets,18,2004,8/29/04,Gymnastics,0,1,1,2
Sada Jacobson,25,2008,8/24/08,Fencing,0,1,1,2
Becca Ward,18,2008,8/24/08,Fencing,0,0,2,2
Mariel Zagunis,23,2008,8/24/08,Fencing,1,0,1,2
Beezie Madden,44,2008,8/24/08,Equestrian,1,0,1,2
Chris Kappler,37,2004,8/29/04,Equestrian,1,1,0,2
Kim Severson,30,2004,8/29/04,Equestrian,0,1,1,2
David O'Connor,38,2000,10/1/00,Equestrian,1,0,1,2
David Boudia,23,2012,8/12/12,Diving,1,0,1,2
Sarah Hammer,28,2012,8/12/12,Cycling,0,2,0,2
Will Claye,21,2012,8/12/12,Athletics,0,1,1,2
Justin Gatlin,30,2012,8/12/12,Athletics,0,1,1,2
Sanya Richards-Ross,27,2012,8/12/12,Athletics,2,0,0,2
DeeDee Trotter,29,2012,8/12/12,Athletics,1,0,1,2
Kerron Clement,22,2008,8/24/08,Athletics,1,1,0,2
Walter Dix,22,2008,8/24/08,Athletics,0,0,2,2
Allyson Felix,22,2008,8/24/08,Athletics,1,1,0,2
LaShawn Merritt,22,2008,8/24/08,Athletics,2,0,0,2
David Neville,24,2008,8/24/08,Athletics,1,0,1,2
Sanya Richards-Ross,23,2008,8/24/08,Athletics,1,0,1,2
Angelo Taylor,29,2008,8/24/08,Athletics,2,0,0,2
Jeremy Wariner,24,2008,8/24/08,Athletics,1,1,0,2
Derrick Brew,26,2004,8/29/04,Athletics,1,0,1,2
Shawn Crawford,26,2004,8/29/04,Athletics,1,1,0,2
Maurice Greene,30,2004,8/29/04,Athletics,0,1,1,2
Otis Harris,22,2004,8/29/04,Athletics,1,1,0,2
Jeremy Wariner,20,2004,8/29/04,Athletics,2,0,0,2
Maurice Greene,26,2000,10/1/00,Athletics,2,0,0,2
Lindsey Kildow-Vonn,25,2010,2/28/10,Alpine Skiing,1,0,1,2
Julia Mancuso,25,2010,2/28/10,Alpine Skiing,0,2,0,2
Bode Miller,24,2002,2/24/02,Alpine Skiing,0,2,0,2
Vic Wunderle,24,2000,10/1/00,Archery,0,1,1,2
Jordan Burroughs,24,2012,8/12/12,Wrestling,1,0,0,1
Clarissa Chun,30,2012,8/12/12,Wrestling,0,0,1,1
Coleman Scott,26,2012,8/12/12,Wrestling,0,0,1,1
Jake Varner,26,2012,8/12/12,Wrestling,1,0,0,1
Henry Cejudo,21,2008,8/24/08,Wrestling,1,0,0,1
Randi Miller,24,2008,8/24/08,Wrestling,0,0,1,1
Adam Wheeler,27,2008,8/24/08,Wrestling,0,0,1,1
Stephen Abas,26,2004,8/29/04,Wrestling,0,1,0,1
Rulon Gardner,33,2004,8/29/04,Wrestling,0,0,1,1
Jamill Kelly,26,2004,8/29/04,Wrestling,0,1,0,1
Sara McMann,23,2004,8/29/04,Wrestling,0,1,0,1
Patricia Miranda,25,2004,8/29/04,Wrestling,0,0,1,1
Cael Sanderson,25,2004,8/29/04,Wrestling,1,0,0,1
Terry Brands,32,2000,10/1/00,Wrestling,0,0,1,1
Rulon Gardner,29,2000,10/1/00,Wrestling,1,0,0,1
Sammie Henson,29,2000,10/1/00,Wrestling,0,1,0,1
Matt Lindland,30,2000,10/1/00,Wrestling,0,1,0,1
Garrett Lowney,20,2000,10/1/00,Wrestling,0,0,1,1
Lincoln McIlravy,26,2000,10/1/00,Wrestling,0,0,1,1
Brandon Slay,24,2000,10/1/00,Wrestling,1,0,0,1
Cheryl Haworth,17,2000,10/1/00,Weightlifting,0,0,1,1
Tara Nott-Cunningham,28,2000,10/1/00,Weightlifting,1,0,0,1
Betsey Armstrong,29,2012,8/12/12,Waterpolo,1,0,0,1
Kami Craig,25,2012,8/12/12,Waterpolo,1,0,0,1
Annika Dries,20,2012,8/12/12,Waterpolo,1,0,0,1
Courtney Mathewson,25,2012,8/12/12,Waterpolo,1,0,0,1
Heather Petri,34,2012,8/12/12,Waterpolo,1,0,0,1
Kelly Rulon,28,2012,8/12/12,Waterpolo,1,0,0,1
Melissa Seidemann,22,2012,8/12/12,Waterpolo,1,0,0,1
Jessica Steffens,25,2012,8/12/12,Waterpolo,1,0,0,1
Maggie Steffens,19,2012,8/12/12,Waterpolo,1,0,0,1
Brenda Villa,32,2012,8/12/12,Waterpolo,1,0,0,1
Lauren Wenger,28,2012,8/12/12,Waterpolo,1,0,0,1
Elsie Windes,27,2012,8/12/12,Waterpolo,1,0,0,1
Betsey Armstrong,25,2008,8/24/08,Waterpolo,0,1,0,1
Tony Azevedo,26,2008,8/24/08,Waterpolo,0,1,0,1
Ryan Bailey,32,2008,8/24/08,Waterpolo,0,1,0,1
Layne Beaubien,32,2008,8/24/08,Waterpolo,0,1,0,1
Brandon Brooks,27,2008,8/24/08,Waterpolo,0,1,0,1
Patty Cardenas,23,2008,8/24/08,Waterpolo,0,1,0,1
Kami Craig,21,2008,8/24/08,Waterpolo,0,1,0,1
Natalie Golda,26,2008,8/24/08,Waterpolo,0,1,0,1
Alison Gregorka,23,2008,8/24/08,Waterpolo,0,1,0,1
Brittany Hayes,23,2008,8/24/08,Waterpolo,0,1,0,1
Jaime Hipp,26,2008,8/24/08,Waterpolo,0,1,0,1
Peter Hudnut,28,2008,8/24/08,Waterpolo,0,1,0,1
Tim Hutten,23,2008,8/24/08,Waterpolo,0,1,0,1
J. W. Krumpholz,20,2008,8/24/08,Waterpolo,0,1,0,1
Rick Merlo,26,2008,8/24/08,Waterpolo,0,1,0,1
Merrill Moses,30,2008,8/24/08,Waterpolo,0,1,0,1
Heather Petri,30,2008,8/24/08,Waterpolo,0,1,0,1
Jeff Powers,28,2008,8/24/08,Waterpolo,0,1,0,1
Jesse Smith,25,2008,8/24/08,Waterpolo,0,1,0,1
Jessica Steffens,21,2008,8/24/08,Waterpolo,0,1,0,1
Moriah Van Norman,24,2008,8/24/08,Waterpolo,0,1,0,1
Peter Varellas,23,2008,8/24/08,Waterpolo,0,1,0,1
Brenda Villa,28,2008,8/24/08,Waterpolo,0,1,0,1
Lauren Wenger,24,2008,8/24/08,Waterpolo,0,1,0,1
Elsie Windes,23,2008,8/24/08,Waterpolo,0,1,0,1
Adam Wright,31,2008,8/24/08,Waterpolo,0,1,0,1
Robin Beauregard,25,2004,8/29/04,Waterpolo,0,0,1,1
Margaret Dingeldein,24,2004,8/29/04,Waterpolo,0,0,1,1
Ellen Estes,25,2004,8/29/04,Waterpolo,0,0,1,1
Jacqueline Frank,24,2004,8/29/04,Waterpolo,0,0,1,1
Natalie Golda,22,2004,8/29/04,Waterpolo,0,0,1,1
